cum_budget,optimizer,run_id,budget,performance,seed
100000,PBT,,,,0
200000,PBT,,,,0
300000,PBT,,,,0
400000,PBT,,10000.0,91.88150787353516,0
500000,PBT,,10000.0,92.64810943603516,0
600000,PBT,,10000.0,93.41471099853516,0
700000,PBT,,10000.0,118.38150835037231,0
800000,PBT,,10000.0,159.48176956176758,0
900000,PBT,,10000.0,200.58203077316284,0
1000000,PBT,,10000.0,219.3193359375,0
1100000,PBT,,10000.0,204.51220703125,0
1200000,PBT,,10000.0,189.705078125,0
1300000,PBT,,10000.0,181.2054033279419,0
1400000,PBT,,10000.0,197.93554496765137,0
1500000,PBT,,10000.0,214.66568660736084,0
1600000,PBT,,10000.0,231.3958282470703,0
1700000,PBT,,10000.0,221.13541316986084,0
1800000,PBT,,10000.0,210.87499809265137,0
1900000,PBT,,10000.0,200.6145830154419,0
2000000,PBT,,10000.0,207.302734375,0
2100000,PBT,,10000.0,218.22802734375,0
2200000,PBT,,10000.0,229.1533203125,0
2300000,PBT,,10000.0,231.95507907867432,0
2400000,PBT,,10000.0,229.34114837646484,0
2500000,PBT,,10000.0,226.72721767425537,0
2600000,PBT,,10000.0,208.21354579925537,0
2700000,PBT,,10000.0,165.85026216506958,0
2800000,PBT,,10000.0,123.48697853088379,0
2900000,PBT,,10000.0,90.05175542831421,0
3000000,PBT,,10000.0,92.32877445220947,0
3100000,PBT,,10000.0,94.60579347610474,0
3200000,PBT,,10000.0,96.8828125,0
100000,PBT,,,,1
200000,PBT,,,,1
300000,PBT,,,,1
400000,PBT,,10000.0,231.77148056030273,1
500000,PBT,,10000.0,234.44807720184326,1
600000,PBT,,10000.0,237.1246738433838,1
700000,PBT,,10000.0,236.84570217132568,1
800000,PBT,,10000.0,234.59635162353516,1
900000,PBT,,10000.0,232.34700107574463,1
1000000,PBT,,10000.0,241.98469734191895,1
1100000,PBT,,10000.0,269.4529638290405,1
1200000,PBT,,10000.0,296.9212303161621,1
1300000,PBT,,10000.0,313.45345973968506,1
1400000,PBT,,10000.0,286.2415409088135,1
1500000,PBT,,10000.0,259.0296220779419,1
1600000,PBT,,10000.0,231.8177032470703,1
1700000,PBT,,10000.0,228.82372856140137,1
1800000,PBT,,10000.0,225.82975387573242,1
1900000,PBT,,10000.0,222.83577919006348,1
2000000,PBT,,10000.0,222.92773818969727,1
2100000,PBT,,10000.0,223.79118061065674,1
2200000,PBT,,10000.0,224.6546230316162,1
2300000,PBT,,10000.0,225.615234375,1
2400000,PBT,,10000.0,226.640625,1
2500000,PBT,,10000.0,227.666015625,1
2600000,PBT,,10000.0,227.591796875,1
2700000,PBT,,10000.0,225.8681640625,1
2800000,PBT,,10000.0,224.14453125,1
2900000,PBT,,10000.0,223.1837568283081,1
3000000,PBT,,10000.0,225.27441596984863,1
3100000,PBT,,10000.0,227.36507511138916,1
3200000,PBT,,10000.0,229.4557342529297,1
100000,PBT,,,,2
200000,PBT,,,,2
300000,PBT,,,,2
400000,PBT,,10000.0,145.12370109558105,2
500000,PBT,,10000.0,180.06673574447632,2
600000,PBT,,10000.0,215.00977039337158,2
700000,PBT,,10000.0,228.87760734558105,2
800000,PBT,,10000.0,228.6953125,2
900000,PBT,,10000.0,228.51301765441895,2
1000000,PBT,,10000.0,231.73925399780273,2
1100000,PBT,,10000.0,240.0782871246338,2
1200000,PBT,,10000.0,248.41732025146484,2
1300000,PBT,,10000.0,261.7659559249878,2
1400000,PBT,,10000.0,295.1530017852783,2
1500000,PBT,,10000.0,328.54004764556885,2
1600000,PBT,,10000.0,361.9270935058594,2
1700000,PBT,,10000.0,319.5695056915283,2
1800000,PBT,,10000.0,277.21191787719727,2
1900000,PBT,,10000.0,234.8543300628662,2
2000000,PBT,,10000.0,226.349609375,2
2100000,PBT,,10000.0,226.30810546875,2
2200000,PBT,,10000.0,226.2666015625,2
2300000,PBT,,10000.0,228.29101657867432,2
2400000,PBT,,10000.0,231.69271087646484,2
2500000,PBT,,10000.0,235.09440517425537,2
2600000,PBT,,10000.0,235.61133193969727,2
2700000,PBT,,10000.0,231.8011074066162,2
2800000,PBT,,10000.0,227.99088287353516,2
2900000,PBT,,10000.0,216.58479356765747,2
3000000,PBT,,10000.0,174.79524517059326,2
3100000,PBT,,10000.0,133.00569677352905,2
3200000,PBT,,10000.0,91.21614837646484,2
100000,Random Search,0.0,100000.0,500.0,42
200000,Random Search,1.0,100000.0,363.9296875,42
300000,Random Search,2.0,100000.0,221.5260467529297,42
400000,Random Search,3.0,100000.0,223.046875,42
500000,Random Search,4.0,100000.0,366.734375,42
600000,Random Search,5.0,100000.0,358.5364685058594,42
700000,Random Search,6.0,100000.0,361.6224060058594,42
800000,Random Search,7.0,100000.0,228.0078125,42
900000,Random Search,8.0,100000.0,365.1666564941406,42
1000000,Random Search,9.0,100000.0,365.0416564941406,42
1100000,Random Search,10.0,100000.0,495.6822814941406,42
1200000,Random Search,11.0,100000.0,500.0,42
1300000,Random Search,12.0,100000.0,500.0,42
1400000,Random Search,13.0,100000.0,500.0,42
1500000,Random Search,14.0,100000.0,362.7734375,42
1600000,Random Search,15.0,100000.0,234.4947967529297,42
1700000,Random Search,16.0,100000.0,223.1666717529297,42
1800000,Random Search,17.0,100000.0,364.7005310058594,42
1900000,Random Search,18.0,100000.0,379.4791564941406,42
2000000,Random Search,19.0,100000.0,228.0,42
2100000,Random Search,20.0,100000.0,361.1354064941406,42
2200000,Random Search,21.0,100000.0,358.734375,42
2300000,Random Search,22.0,100000.0,362.9947814941406,42
2400000,Random Search,23.0,100000.0,500.0,42
2500000,Random Search,24.0,100000.0,500.0,42
2600000,Random Search,25.0,100000.0,500.0,42
2700000,Random Search,26.0,100000.0,359.4400939941406,42
2800000,Random Search,27.0,100000.0,360.015625,42
2900000,Random Search,28.0,100000.0,361.5052185058594,42
3000000,Random Search,29.0,100000.0,500.0,42
3100000,Random Search,30.0,100000.0,500.0,42
3200000,Random Search,31.0,100000.0,365.6041564941406,42
100000,Random Search,0.0,100000.0,86.69010333333334,43
200000,Random Search,1.0,100000.0,84.70052,43
300000,Random Search,2.0,100000.0,225.3671866666667,43
400000,Random Search,3.0,100000.0,222.51822833333333,43
500000,Random Search,4.0,100000.0,225.76302,43
600000,Random Search,5.0,100000.0,221.18229083333333,43
700000,Random Search,6.0,100000.0,221.3749991666667,43
800000,Random Search,7.0,100000.0,221.5624991666667,43
900000,Random Search,8.0,100000.0,361.8671866666666,43
1000000,Random Search,9.0,100000.0,361.8671866666666,43
1100000,Random Search,10.0,100000.0,361.8671866666666,43
1200000,Random Search,11.0,100000.0,221.18229083333333,43
1300000,Random Search,12.0,100000.0,172.08072833333335,43
1400000,Random Search,13.0,100000.0,221.3749991666667,43
1500000,Random Search,14.0,100000.0,220.46354083333333,43
1600000,Random Search,15.0,100000.0,221.5624991666667,43
1700000,Random Search,16.0,100000.0,85.99479083333334,43
1800000,Random Search,17.0,100000.0,361.8671866666666,43
1900000,Random Search,18.0,100000.0,257.8072908333333,43
2000000,Random Search,19.0,100000.0,361.8671866666666,43
2100000,Random Search,20.0,100000.0,228.8749991666667,43
2200000,Random Search,21.0,100000.0,357.74739500000004,43
2300000,Random Search,22.0,100000.0,248.9218741666667,43
2400000,Random Search,23.0,100000.0,361.8671866666666,43
2500000,Random Search,24.0,100000.0,361.8671866666666,43
2600000,Random Search,25.0,100000.0,172.184895,43
2700000,Random Search,26.0,100000.0,361.8671866666666,43
