cum_budget,optimizer,run_id,budget,performance,seed
100000,PBT,,,,0
200000,PBT,,,,0
300000,PBT,,,,0
400000,PBT,,10000.0,155.4764404296875,0
500000,PBT,,10000.0,164.2888298034668,0
600000,PBT,,10000.0,173.1012191772461,0
700000,PBT,,10000.0,177.6720733642578,0
800000,PBT,,10000.0,179.4152374267578,0
900000,PBT,,10000.0,181.1584014892578,0
1000000,PBT,,10000.0,195.05119514465332,0
1100000,PBT,,10000.0,227.1684331893921,0
1200000,PBT,,10000.0,259.28567123413086,0
1300000,PBT,,10000.0,277.55229473114014,0
1400000,PBT,,10000.0,240.41646003723145,0
1500000,PBT,,10000.0,203.28062534332275,0
1600000,PBT,,10000.0,166.14479064941406,0
1700000,PBT,,10000.0,156.627779006958,0
1800000,PBT,,10000.0,147.11076736450195,0
1900000,PBT,,10000.0,137.5937557220459,0
2000000,PBT,,10000.0,154.15797424316406,0
2100000,PBT,,10000.0,177.24250030517578,0
2200000,PBT,,10000.0,200.3270263671875,0
2300000,PBT,,10000.0,191.493097782135,0
2400000,PBT,,10000.0,161.38019943237305,0
2500000,PBT,,10000.0,131.26730108261108,0
2600000,PBT,,10000.0,116.58223056793213,0
2700000,PBT,,10000.0,125.03890180587769,0
2800000,PBT,,10000.0,133.49557304382324,0
2900000,PBT,,10000.0,137.84609508514404,0
3000000,PBT,,10000.0,125.77202033996582,0
3100000,PBT,,10000.0,113.6979455947876,0
3200000,PBT,,10000.0,101.62387084960938,0
100000,PBT,,,,1
200000,PBT,,,,1
300000,PBT,,,,1
400000,PBT,,10000.0,99.8177375793457,1
500000,PBT,,10000.0,99.0911283493042,1
600000,PBT,,10000.0,98.3645191192627,1
700000,PBT,,10000.0,98.54013204574585,1
800000,PBT,,10000.0,99.31722640991211,1
900000,PBT,,10000.0,100.09432077407837,1
1000000,PBT,,10000.0,106.31478691101074,1
1100000,PBT,,10000.0,120.70031070709229,1
1200000,PBT,,10000.0,135.08583450317383,1
1300000,PBT,,10000.0,147.7342405319214,1
1400000,PBT,,10000.0,153.434175491333,1
1500000,PBT,,10000.0,159.13411045074463,1
1600000,PBT,,10000.0,164.83404541015625,1
1700000,PBT,,10000.0,148.35124158859253,1
1800000,PBT,,10000.0,131.8684377670288,1
1900000,PBT,,10000.0,115.38563394546509,1
2000000,PBT,,10000.0,115.0507926940918,1
2100000,PBT,,10000.0,118.75294208526611,1
2200000,PBT,,10000.0,122.45509147644043,1
2300000,PBT,,10000.0,124.5621747970581,1
2400000,PBT,,10000.0,125.60588073730469,1
2500000,PBT,,10000.0,126.64958667755127,1
2600000,PBT,,10000.0,140.71034336090088,1
2700000,PBT,,10000.0,174.29667615890503,1
2800000,PBT,,10000.0,207.88300895690918,1
2900000,PBT,,10000.0,225.15311002731323,1
3000000,PBT,,10000.0,177.1582841873169,1
3100000,PBT,,10000.0,129.16345834732056,1
3200000,PBT,,10000.0,81.16863250732422,1
100000,PBT,,,,2
200000,PBT,,,,2
300000,PBT,,,,2
400000,PBT,,10000.0,124.9152660369873,2
500000,PBT,,10000.0,147.02291250228882,2
600000,PBT,,10000.0,169.13055896759033,2
700000,PBT,,10000.0,182.25356483459473,2
800000,PBT,,10000.0,189.38681030273438,2
900000,PBT,,10000.0,196.52005577087402,2
1000000,PBT,,10000.0,210.33156776428223,2
1100000,PBT,,10000.0,234.16047954559326,2
1200000,PBT,,10000.0,257.9893913269043,2
1300000,PBT,,10000.0,265.240975856781,2
1400000,PBT,,10000.0,206.1832513809204,2
1500000,PBT,,10000.0,147.12552690505981,2
1600000,PBT,,10000.0,88.06780242919922,2
1700000,PBT,,10000.0,91.64119386672974,2
1800000,PBT,,10000.0,95.21458530426025,2
1900000,PBT,,10000.0,98.78797674179077,2
2000000,PBT,,10000.0,106.09008979797363,2
2100000,PBT,,10000.0,114.32438325881958,2
2200000,PBT,,10000.0,122.55867671966553,2
2300000,PBT,,10000.0,149.73685884475708,2
2400000,PBT,,10000.0,189.5443000793457,2
2500000,PBT,,10000.0,229.35174131393433,2
2600000,PBT,,10000.0,243.90371131896973,2
2700000,PBT,,10000.0,220.5724744796753,2
2800000,PBT,,10000.0,197.24123764038086,2
2900000,PBT,,10000.0,181.92897701263428,2
3000000,PBT,,10000.0,198.6926212310791,2
3100000,PBT,,10000.0,215.45626544952393,2
3200000,PBT,,10000.0,232.21990966796875,2
100000,Random Search,0.0,100000.0,199.9526824951172,42
200000,Random Search,1.0,100000.0,186.7249755859375,42
300000,Random Search,2.0,100000.0,362.9594421386719,42
400000,Random Search,3.0,100000.0,146.6802520751953,42
500000,Random Search,4.0,100000.0,312.9110412597656,42
600000,Random Search,5.0,100000.0,139.69627380371094,42
700000,Random Search,6.0,100000.0,182.85704040527344,42
800000,Random Search,7.0,100000.0,144.44085693359375,42
900000,Random Search,8.0,100000.0,159.0185546875,42
1000000,Random Search,9.0,100000.0,193.8497467041016,42
1100000,Random Search,10.0,100000.0,179.97312927246094,42
1200000,Random Search,11.0,100000.0,287.5570373535156,42
1300000,Random Search,12.0,100000.0,183.08154296875,42
1400000,Random Search,13.0,100000.0,256.067138671875,42
1500000,Random Search,14.0,100000.0,421.6979064941406,42
1600000,Random Search,15.0,100000.0,165.3562469482422,42
1700000,Random Search,16.0,100000.0,365.4793395996094,42
1800000,Random Search,17.0,100000.0,205.4469757080078,42
1900000,Random Search,18.0,100000.0,89.459716796875,42
2000000,Random Search,19.0,100000.0,407.0553283691406,42
2100000,Random Search,20.0,100000.0,423.9151916503906,42
2200000,Random Search,21.0,100000.0,148.25636291503906,42
2300000,Random Search,22.0,100000.0,219.0133514404297,42
2400000,Random Search,23.0,100000.0,189.8990631103516,42
2500000,Random Search,24.0,100000.0,134.28628540039062,42
2600000,Random Search,25.0,100000.0,265.5307312011719,42
2700000,Random Search,26.0,100000.0,370.934814453125,42
2800000,Random Search,27.0,100000.0,229.21324157714844,42
2900000,Random Search,28.0,100000.0,244.2809600830078,42
3000000,Random Search,29.0,100000.0,545.6229858398438,42
3100000,Random Search,30.0,100000.0,182.1782684326172,42
3200000,Random Search,31.0,100000.0,161.84335327148438,42
100000,Random Search,0.0,100000.0,532.0525512695312,43
200000,Random Search,1.0,100000.0,388.38037109375,43
300000,Random Search,2.0,100000.0,160.81912231445312,43
400000,Random Search,3.0,100000.0,153.3029327392578,43
500000,Random Search,4.0,100000.0,224.67759704589844,43
600000,Random Search,5.0,100000.0,175.7934112548828,43
700000,Random Search,6.0,100000.0,327.8690490722656,43
800000,Random Search,7.0,100000.0,142.46449279785156,43
900000,Random Search,8.0,100000.0,188.266845703125,43
1000000,Random Search,9.0,100000.0,292.5474548339844,43
1100000,Random Search,10.0,100000.0,246.8134613037109,43
1200000,Random Search,11.0,100000.0,314.7597351074219,43
1300000,Random Search,12.0,100000.0,322.3662109375,43
1400000,Random Search,13.0,100000.0,165.9771728515625,43
1500000,Random Search,14.0,100000.0,216.9232177734375,43
1600000,Random Search,15.0,100000.0,154.6464080810547,43
1700000,Random Search,16.0,100000.0,193.63427734375,43
1800000,Random Search,17.0,100000.0,330.4397277832031,43
1900000,Random Search,18.0,100000.0,553.7340698242188,43
2000000,Random Search,19.0,100000.0,287.0830993652344,43
2100000,Random Search,20.0,100000.0,337.021240234375,43
2200000,Random Search,21.0,100000.0,255.4182586669922,43
2300000,Random Search,22.0,100000.0,366.3684997558594,43
2400000,Random Search,23.0,100000.0,286.2875061035156,43
