cum_budget,optimizer,run_id,budget,performance,seed
1000000,PBT,,,,0
1100000,PBT,,,,0
1200000,PBT,,,,0
1300000,PBT,,,,0
1400000,PBT,,,,0
1500000,PBT,,,,0
1600000,PBT,,,,0
1700000,PBT,,,,0
1800000,PBT,,,,0
1900000,PBT,,,,0
2000000,PBT,,,,0
2100000,PBT,,,,0
2200000,PBT,,,,0
2300000,PBT,,,,0
2400000,PBT,,,,0
2500000,PBT,,,,0
2600000,PBT,,,,0
2700000,PBT,,,,0
2800000,PBT,,,,0
2900000,PBT,,,,0
3000000,PBT,,,,0
3100000,PBT,,,,0
3200000,PBT,,100000.0,200.0,0
3300000,PBT,,100000.0,199.51920557022095,0
3400000,PBT,,100000.0,199.0384111404419,0
3500000,PBT,,100000.0,198.55761671066284,0
3600000,PBT,,100000.0,198.0768222808838,0
3700000,PBT,,100000.0,197.59602785110474,0
3800000,PBT,,100000.0,197.11523342132568,0
3900000,PBT,,100000.0,196.63443899154663,0
4000000,PBT,,100000.0,196.15364456176758,0
4100000,PBT,,100000.0,195.67285013198853,0
4200000,PBT,,100000.0,195.19205570220947,0
4300000,PBT,,100000.0,194.71126127243042,0
4400000,PBT,,100000.0,194.23046684265137,0
4500000,PBT,,100000.0,193.74967241287231,0
4600000,PBT,,100000.0,193.26887798309326,0
4700000,PBT,,100000.0,192.7880835533142,0
4800000,PBT,,100000.0,192.30728912353516,0
4900000,PBT,,100000.0,191.8264946937561,0
5000000,PBT,,100000.0,191.34570026397705,0
5100000,PBT,,100000.0,190.864905834198,0
5200000,PBT,,100000.0,190.38411140441895,0
5300000,PBT,,100000.0,189.9033169746399,0
5400000,PBT,,100000.0,189.42252254486084,0
5500000,PBT,,100000.0,188.9417281150818,0
5600000,PBT,,100000.0,188.46093368530273,0
5700000,PBT,,100000.0,187.98013925552368,0
5800000,PBT,,100000.0,187.49934482574463,0
5900000,PBT,,100000.0,187.01855039596558,0
6000000,PBT,,100000.0,186.53775596618652,0
6100000,PBT,,100000.0,186.05696153640747,0
6200000,PBT,,100000.0,185.57616710662842,0
6300000,PBT,,100000.0,185.09537267684937,0
6400000,PBT,,100000.0,184.6145782470703,0
6500000,PBT,,100000.0,184.53702306747437,0
6600000,PBT,,100000.0,184.45946788787842,0
6700000,PBT,,100000.0,184.38191270828247,0
6800000,PBT,,100000.0,184.30435752868652,0
6900000,PBT,,100000.0,184.22680234909058,0
7000000,PBT,,100000.0,184.14924716949463,0
7100000,PBT,,100000.0,184.07169198989868,0
7200000,PBT,,100000.0,183.99413681030273,0
7300000,PBT,,100000.0,183.9165816307068,0
7400000,PBT,,100000.0,183.83902645111084,0
7500000,PBT,,100000.0,183.7614712715149,0
7600000,PBT,,100000.0,183.68391609191895,0
7700000,PBT,,100000.0,183.606360912323,0
7800000,PBT,,100000.0,183.52880573272705,0
7900000,PBT,,100000.0,183.4512505531311,0
8000000,PBT,,100000.0,183.37369537353516,0
8100000,PBT,,100000.0,183.2961401939392,0
8200000,PBT,,100000.0,183.21858501434326,0
8300000,PBT,,100000.0,183.14102983474731,0
8400000,PBT,,100000.0,183.06347465515137,0
8500000,PBT,,100000.0,182.98591947555542,0
8600000,PBT,,100000.0,182.90836429595947,0
8700000,PBT,,100000.0,182.83080911636353,0
8800000,PBT,,100000.0,182.75325393676758,0
8900000,PBT,,100000.0,182.67569875717163,0
9000000,PBT,,100000.0,182.59814357757568,0
9100000,PBT,,100000.0,182.52058839797974,0
9200000,PBT,,100000.0,182.4430332183838,0
9300000,PBT,,100000.0,182.36547803878784,0
9400000,PBT,,100000.0,182.2879228591919,0
9500000,PBT,,100000.0,182.21036767959595,0
9600000,PBT,,100000.0,182.1328125,0
9700000,PBT,,100000.0,182.691162109375,0
9800000,PBT,,100000.0,183.24951171875,0
9900000,PBT,,100000.0,183.807861328125,0
10000000,PBT,,100000.0,184.3662109375,0
10100000,PBT,,100000.0,184.924560546875,0
10200000,PBT,,100000.0,185.48291015625,0
10300000,PBT,,100000.0,186.041259765625,0
10400000,PBT,,100000.0,186.599609375,0
10500000,PBT,,100000.0,187.157958984375,0
10600000,PBT,,100000.0,187.71630859375,0
10700000,PBT,,100000.0,188.274658203125,0
10800000,PBT,,100000.0,188.8330078125,0
10900000,PBT,,100000.0,189.391357421875,0
11000000,PBT,,100000.0,189.94970703125,0
11100000,PBT,,100000.0,190.508056640625,0
11200000,PBT,,100000.0,191.06640625,0
11300000,PBT,,100000.0,191.624755859375,0
11400000,PBT,,100000.0,192.18310546875,0
11500000,PBT,,100000.0,192.741455078125,0
11600000,PBT,,100000.0,193.2998046875,0
11700000,PBT,,100000.0,193.858154296875,0
11800000,PBT,,100000.0,194.41650390625,0
11900000,PBT,,100000.0,194.974853515625,0
12000000,PBT,,100000.0,195.533203125,0
12100000,PBT,,100000.0,196.091552734375,0
12200000,PBT,,100000.0,196.64990234375,0
12300000,PBT,,100000.0,197.208251953125,0
12400000,PBT,,100000.0,197.7666015625,0
12500000,PBT,,100000.0,198.324951171875,0
12600000,PBT,,100000.0,198.88330078125,0
12700000,PBT,,100000.0,199.441650390625,0
12800000,PBT,,100000.0,200.0,0
12900000,PBT,,100000.0,199.96443700790405,0
13000000,PBT,,100000.0,199.9288740158081,0
13100000,PBT,,100000.0,199.89331102371216,0
13200000,PBT,,100000.0,199.8577480316162,0
13300000,PBT,,100000.0,199.82218503952026,0
13400000,PBT,,100000.0,199.78662204742432,0
13500000,PBT,,100000.0,199.75105905532837,0
13600000,PBT,,100000.0,199.71549606323242,0
13700000,PBT,,100000.0,199.67993307113647,0
13800000,PBT,,100000.0,199.64437007904053,0
13900000,PBT,,100000.0,199.60880708694458,0
14000000,PBT,,100000.0,199.57324409484863,0
14100000,PBT,,100000.0,199.53768110275269,0
14200000,PBT,,100000.0,199.50211811065674,0
14300000,PBT,,100000.0,199.4665551185608,0
14400000,PBT,,100000.0,199.43099212646484,0
14500000,PBT,,100000.0,199.3954291343689,0
14600000,PBT,,100000.0,199.35986614227295,0
14700000,PBT,,100000.0,199.324303150177,0
14800000,PBT,,100000.0,199.28874015808105,0
14900000,PBT,,100000.0,199.2531771659851,0
15000000,PBT,,100000.0,199.21761417388916,0
15100000,PBT,,100000.0,199.1820511817932,0
15200000,PBT,,100000.0,199.14648818969727,0
15300000,PBT,,100000.0,199.11092519760132,0
15400000,PBT,,100000.0,199.07536220550537,0
15500000,PBT,,100000.0,199.03979921340942,0
15600000,PBT,,100000.0,199.00423622131348,0
15700000,PBT,,100000.0,198.96867322921753,0
15800000,PBT,,100000.0,198.93311023712158,0
15900000,PBT,,100000.0,198.89754724502563,0
16000000,PBT,,100000.0,198.8619842529297,0
16100000,PBT,,100000.0,198.78573083877563,0
16200000,PBT,,100000.0,198.70947742462158,0
16300000,PBT,,100000.0,198.63322401046753,0
16400000,PBT,,100000.0,198.55697059631348,0
16500000,PBT,,100000.0,198.48071718215942,0
16600000,PBT,,100000.0,198.40446376800537,0
16700000,PBT,,100000.0,198.32821035385132,0
16800000,PBT,,100000.0,198.25195693969727,0
16900000,PBT,,100000.0,198.1757035255432,0
17000000,PBT,,100000.0,198.09945011138916,0
17100000,PBT,,100000.0,198.0231966972351,0
17200000,PBT,,100000.0,197.94694328308105,0
17300000,PBT,,100000.0,197.870689868927,0
17400000,PBT,,100000.0,197.79443645477295,0
17500000,PBT,,100000.0,197.7181830406189,0
17600000,PBT,,100000.0,197.64192962646484,0
17700000,PBT,,100000.0,197.5656762123108,0
17800000,PBT,,100000.0,197.48942279815674,0
17900000,PBT,,100000.0,197.41316938400269,0
18000000,PBT,,100000.0,197.33691596984863,0
18100000,PBT,,100000.0,197.26066255569458,0
18200000,PBT,,100000.0,197.18440914154053,0
18300000,PBT,,100000.0,197.10815572738647,0
18400000,PBT,,100000.0,197.03190231323242,0
18500000,PBT,,100000.0,196.95564889907837,0
18600000,PBT,,100000.0,196.87939548492432,0
18700000,PBT,,100000.0,196.80314207077026,0
18800000,PBT,,100000.0,196.7268886566162,0
18900000,PBT,,100000.0,196.65063524246216,0
19000000,PBT,,100000.0,196.5743818283081,0
19100000,PBT,,100000.0,196.49812841415405,0
19200000,PBT,,100000.0,196.421875,0
19300000,PBT,,100000.0,195.75569677352905,0
19400000,PBT,,100000.0,195.0895185470581,0
19500000,PBT,,100000.0,194.42334032058716,0
19600000,PBT,,100000.0,193.7571620941162,0
19700000,PBT,,100000.0,193.09098386764526,0
19800000,PBT,,100000.0,192.42480564117432,0
19900000,PBT,,100000.0,191.75862741470337,0
20000000,PBT,,100000.0,191.09244918823242,0
20100000,PBT,,100000.0,190.42627096176147,0
20200000,PBT,,100000.0,189.76009273529053,0
20300000,PBT,,100000.0,189.09391450881958,0
20400000,PBT,,100000.0,188.42773628234863,0
20500000,PBT,,100000.0,187.76155805587769,0
20600000,PBT,,100000.0,187.09537982940674,0
20700000,PBT,,100000.0,186.4292016029358,0
20800000,PBT,,100000.0,185.76302337646484,0
20900000,PBT,,100000.0,185.0968451499939,0
21000000,PBT,,100000.0,184.43066692352295,0
21100000,PBT,,100000.0,183.764488697052,0
21200000,PBT,,100000.0,183.09831047058105,0
21300000,PBT,,100000.0,182.4321322441101,0
21400000,PBT,,100000.0,181.76595401763916,0
21500000,PBT,,100000.0,181.0997757911682,0
21600000,PBT,,100000.0,180.43359756469727,0
21700000,PBT,,100000.0,179.76741933822632,0
21800000,PBT,,100000.0,179.10124111175537,0
21900000,PBT,,100000.0,178.43506288528442,0
22000000,PBT,,100000.0,177.76888465881348,0
22100000,PBT,,100000.0,177.10270643234253,0
22200000,PBT,,100000.0,176.43652820587158,0
22300000,PBT,,100000.0,175.77034997940063,0
22400000,PBT,,100000.0,175.1041717529297,0
22500000,PBT,,100000.0,175.88216638565063,0
22600000,PBT,,100000.0,176.66016101837158,0
22700000,PBT,,100000.0,177.43815565109253,0
22800000,PBT,,100000.0,178.21615028381348,0
22900000,PBT,,100000.0,178.99414491653442,0
23000000,PBT,,100000.0,179.77213954925537,0
23100000,PBT,,100000.0,180.55013418197632,0
23200000,PBT,,100000.0,181.32812881469727,0
23300000,PBT,,100000.0,182.1061234474182,0
23400000,PBT,,100000.0,182.88411808013916,0
23500000,PBT,,100000.0,183.6621127128601,0
23600000,PBT,,100000.0,184.44010734558105,0
23700000,PBT,,100000.0,185.218101978302,0
23800000,PBT,,100000.0,185.99609661102295,0
23900000,PBT,,100000.0,186.7740912437439,0
24000000,PBT,,100000.0,187.55208587646484,0
24100000,PBT,,100000.0,188.3300805091858,0
24200000,PBT,,100000.0,189.10807514190674,0
24300000,PBT,,100000.0,189.88606977462769,0
24400000,PBT,,100000.0,190.66406440734863,0
24500000,PBT,,100000.0,191.44205904006958,0
24600000,PBT,,100000.0,192.22005367279053,0
24700000,PBT,,100000.0,192.99804830551147,0
24800000,PBT,,100000.0,193.77604293823242,0
24900000,PBT,,100000.0,194.55403757095337,0
25000000,PBT,,100000.0,195.33203220367432,0
25100000,PBT,,100000.0,196.11002683639526,0
25200000,PBT,,100000.0,196.8880214691162,0
25300000,PBT,,100000.0,197.66601610183716,0
25400000,PBT,,100000.0,198.4440107345581,0
25500000,PBT,,100000.0,199.22200536727905,0
25600000,PBT,,100000.0,200.0,0
25700000,PBT,,100000.0,200.0,0
25800000,PBT,,100000.0,200.0,0
25900000,PBT,,100000.0,200.0,0
26000000,PBT,,100000.0,200.0,0
26100000,PBT,,100000.0,200.0,0
26200000,PBT,,100000.0,200.0,0
26300000,PBT,,100000.0,200.0,0
26400000,PBT,,100000.0,200.0,0
26500000,PBT,,100000.0,200.0,0
26600000,PBT,,100000.0,200.0,0
26700000,PBT,,100000.0,200.0,0
26800000,PBT,,100000.0,200.0,0
26900000,PBT,,100000.0,200.0,0
27000000,PBT,,100000.0,200.0,0
27100000,PBT,,100000.0,200.0,0
27200000,PBT,,100000.0,200.0,0
27300000,PBT,,100000.0,200.0,0
27400000,PBT,,100000.0,200.0,0
27500000,PBT,,100000.0,200.0,0
27600000,PBT,,100000.0,200.0,0
27700000,PBT,,100000.0,200.0,0
27800000,PBT,,100000.0,200.0,0
27900000,PBT,,100000.0,200.0,0
28000000,PBT,,100000.0,200.0,0
28100000,PBT,,100000.0,200.0,0
28200000,PBT,,100000.0,200.0,0
28300000,PBT,,100000.0,200.0,0
28400000,PBT,,100000.0,200.0,0
28500000,PBT,,100000.0,200.0,0
28600000,PBT,,100000.0,200.0,0
28700000,PBT,,100000.0,200.0,0
28800000,PBT,,100000.0,200.0,0
28900000,PBT,,100000.0,200.0,0
29000000,PBT,,100000.0,200.0,0
29100000,PBT,,100000.0,200.0,0
29200000,PBT,,100000.0,200.0,0
29300000,PBT,,100000.0,200.0,0
29400000,PBT,,100000.0,200.0,0
29500000,PBT,,100000.0,200.0,0
29600000,PBT,,100000.0,200.0,0
29700000,PBT,,100000.0,200.0,0
29800000,PBT,,100000.0,200.0,0
29900000,PBT,,100000.0,200.0,0
30000000,PBT,,100000.0,200.0,0
30100000,PBT,,100000.0,200.0,0
30200000,PBT,,100000.0,200.0,0
30300000,PBT,,100000.0,200.0,0
30400000,PBT,,100000.0,200.0,0
30500000,PBT,,100000.0,200.0,0
30600000,PBT,,100000.0,200.0,0
30700000,PBT,,100000.0,200.0,0
30800000,PBT,,100000.0,200.0,0
30900000,PBT,,100000.0,200.0,0
31000000,PBT,,100000.0,200.0,0
31100000,PBT,,100000.0,200.0,0
31200000,PBT,,100000.0,200.0,0
31300000,PBT,,100000.0,200.0,0
31400000,PBT,,100000.0,200.0,0
31500000,PBT,,100000.0,200.0,0
31600000,PBT,,100000.0,200.0,0
31700000,PBT,,100000.0,200.0,0
31800000,PBT,,100000.0,200.0,0
31900000,PBT,,100000.0,200.0,0
32000000,PBT,,100000.0,200.0,0
1000000,PBT,,,,1
1100000,PBT,,,,1
1200000,PBT,,,,1
1300000,PBT,,,,1
1400000,PBT,,,,1
1500000,PBT,,,,1
1600000,PBT,,,,1
1700000,PBT,,,,1
1800000,PBT,,,,1
1900000,PBT,,,,1
2000000,PBT,,,,1
2100000,PBT,,,,1
2200000,PBT,,,,1
2300000,PBT,,,,1
2400000,PBT,,,,1
2500000,PBT,,,,1
2600000,PBT,,,,1
2700000,PBT,,,,1
2800000,PBT,,,,1
2900000,PBT,,,,1
3000000,PBT,,,,1
3100000,PBT,,,,1
3200000,PBT,,100000.0,199.5598907470703,1
3300000,PBT,,100000.0,199.44970226287842,1
3400000,PBT,,100000.0,199.33951377868652,1
3500000,PBT,,100000.0,199.22932529449463,1
3600000,PBT,,100000.0,199.11913681030273,1
3700000,PBT,,100000.0,199.00894832611084,1
3800000,PBT,,100000.0,198.89875984191895,1
3900000,PBT,,100000.0,198.78857135772705,1
4000000,PBT,,100000.0,198.67838287353516,1
4100000,PBT,,100000.0,198.56819438934326,1
4200000,PBT,,100000.0,198.45800590515137,1
4300000,PBT,,100000.0,198.34781742095947,1
4400000,PBT,,100000.0,198.23762893676758,1
4500000,PBT,,100000.0,198.12744045257568,1
4600000,PBT,,100000.0,198.0172519683838,1
4700000,PBT,,100000.0,197.9070634841919,1
4800000,PBT,,100000.0,197.796875,1
4900000,PBT,,100000.0,197.6866865158081,1
5000000,PBT,,100000.0,197.5764980316162,1
5100000,PBT,,100000.0,197.46630954742432,1
5200000,PBT,,100000.0,197.35612106323242,1
5300000,PBT,,100000.0,197.24593257904053,1
5400000,PBT,,100000.0,197.13574409484863,1
5500000,PBT,,100000.0,197.02555561065674,1
5600000,PBT,,100000.0,196.91536712646484,1
5700000,PBT,,100000.0,196.80517864227295,1
5800000,PBT,,100000.0,196.69499015808105,1
5900000,PBT,,100000.0,196.58480167388916,1
6000000,PBT,,100000.0,196.47461318969727,1
6100000,PBT,,100000.0,196.36442470550537,1
6200000,PBT,,100000.0,196.25423622131348,1
6300000,PBT,,100000.0,196.14404773712158,1
6400000,PBT,,100000.0,196.0338592529297,1
6500000,PBT,,100000.0,196.15780115127563,1
6600000,PBT,,100000.0,196.28174304962158,1
6700000,PBT,,100000.0,196.40568494796753,1
6800000,PBT,,100000.0,196.52962684631348,1
6900000,PBT,,100000.0,196.65356874465942,1
7000000,PBT,,100000.0,196.77751064300537,1
7100000,PBT,,100000.0,196.90145254135132,1
7200000,PBT,,100000.0,197.02539443969727,1
7300000,PBT,,100000.0,197.1493363380432,1
7400000,PBT,,100000.0,197.27327823638916,1
7500000,PBT,,100000.0,197.3972201347351,1
7600000,PBT,,100000.0,197.52116203308105,1
7700000,PBT,,100000.0,197.645103931427,1
7800000,PBT,,100000.0,197.76904582977295,1
7900000,PBT,,100000.0,197.8929877281189,1
8000000,PBT,,100000.0,198.01692962646484,1
8100000,PBT,,100000.0,198.1408715248108,1
8200000,PBT,,100000.0,198.26481342315674,1
8300000,PBT,,100000.0,198.38875532150269,1
8400000,PBT,,100000.0,198.51269721984863,1
8500000,PBT,,100000.0,198.63663911819458,1
8600000,PBT,,100000.0,198.76058101654053,1
8700000,PBT,,100000.0,198.88452291488647,1
8800000,PBT,,100000.0,199.00846481323242,1
8900000,PBT,,100000.0,199.13240671157837,1
9000000,PBT,,100000.0,199.25634860992432,1
9100000,PBT,,100000.0,199.38029050827026,1
9200000,PBT,,100000.0,199.5042324066162,1
9300000,PBT,,100000.0,199.62817430496216,1
9400000,PBT,,100000.0,199.7521162033081,1
9500000,PBT,,100000.0,199.87605810165405,1
9600000,PBT,,100000.0,200.0,1
9700000,PBT,,100000.0,200.0,1
9800000,PBT,,100000.0,200.0,1
9900000,PBT,,100000.0,200.0,1
10000000,PBT,,100000.0,200.0,1
10100000,PBT,,100000.0,200.0,1
10200000,PBT,,100000.0,200.0,1
10300000,PBT,,100000.0,200.0,1
10400000,PBT,,100000.0,200.0,1
10500000,PBT,,100000.0,200.0,1
10600000,PBT,,100000.0,200.0,1
10700000,PBT,,100000.0,200.0,1
10800000,PBT,,100000.0,200.0,1
10900000,PBT,,100000.0,200.0,1
11000000,PBT,,100000.0,200.0,1
11100000,PBT,,100000.0,200.0,1
11200000,PBT,,100000.0,200.0,1
11300000,PBT,,100000.0,200.0,1
11400000,PBT,,100000.0,200.0,1
11500000,PBT,,100000.0,200.0,1
11600000,PBT,,100000.0,200.0,1
11700000,PBT,,100000.0,200.0,1
11800000,PBT,,100000.0,200.0,1
11900000,PBT,,100000.0,200.0,1
12000000,PBT,,100000.0,200.0,1
12100000,PBT,,100000.0,200.0,1
12200000,PBT,,100000.0,200.0,1
12300000,PBT,,100000.0,200.0,1
12400000,PBT,,100000.0,200.0,1
12500000,PBT,,100000.0,200.0,1
12600000,PBT,,100000.0,200.0,1
12700000,PBT,,100000.0,200.0,1
12800000,PBT,,100000.0,200.0,1
12900000,PBT,,100000.0,200.0,1
13000000,PBT,,100000.0,200.0,1
13100000,PBT,,100000.0,200.0,1
13200000,PBT,,100000.0,200.0,1
13300000,PBT,,100000.0,200.0,1
13400000,PBT,,100000.0,200.0,1
13500000,PBT,,100000.0,200.0,1
13600000,PBT,,100000.0,200.0,1
13700000,PBT,,100000.0,200.0,1
13800000,PBT,,100000.0,200.0,1
13900000,PBT,,100000.0,200.0,1
14000000,PBT,,100000.0,200.0,1
14100000,PBT,,100000.0,200.0,1
14200000,PBT,,100000.0,200.0,1
14300000,PBT,,100000.0,200.0,1
14400000,PBT,,100000.0,200.0,1
14500000,PBT,,100000.0,200.0,1
14600000,PBT,,100000.0,200.0,1
14700000,PBT,,100000.0,200.0,1
14800000,PBT,,100000.0,200.0,1
14900000,PBT,,100000.0,200.0,1
15000000,PBT,,100000.0,200.0,1
15100000,PBT,,100000.0,200.0,1
15200000,PBT,,100000.0,200.0,1
15300000,PBT,,100000.0,200.0,1
15400000,PBT,,100000.0,200.0,1
15500000,PBT,,100000.0,200.0,1
15600000,PBT,,100000.0,200.0,1
15700000,PBT,,100000.0,200.0,1
15800000,PBT,,100000.0,200.0,1
15900000,PBT,,100000.0,200.0,1
16000000,PBT,,100000.0,200.0,1
16100000,PBT,,100000.0,199.99715185165405,1
16200000,PBT,,100000.0,199.9943037033081,1
16300000,PBT,,100000.0,199.99145555496216,1
16400000,PBT,,100000.0,199.9886074066162,1
16500000,PBT,,100000.0,199.98575925827026,1
16600000,PBT,,100000.0,199.98291110992432,1
16700000,PBT,,100000.0,199.98006296157837,1
16800000,PBT,,100000.0,199.97721481323242,1
16900000,PBT,,100000.0,199.97436666488647,1
17000000,PBT,,100000.0,199.97151851654053,1
17100000,PBT,,100000.0,199.96867036819458,1
17200000,PBT,,100000.0,199.96582221984863,1
17300000,PBT,,100000.0,199.96297407150269,1
17400000,PBT,,100000.0,199.96012592315674,1
17500000,PBT,,100000.0,199.9572777748108,1
17600000,PBT,,100000.0,199.95442962646484,1
17700000,PBT,,100000.0,199.9515814781189,1
17800000,PBT,,100000.0,199.94873332977295,1
17900000,PBT,,100000.0,199.945885181427,1
