config_id,budget,performance,hp_config.buffer_batch_size,hp_config.buffer_prio_sampling,hp_config.buffer_size,hp_config.initial_epsilon,hp_config.learning_rate,hp_config.learning_starts,hp_config.target_epsilon,hp_config.use_target_network,hp_config.buffer_alpha,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.target_update_interval,optimisation_seed,seed
0,100000,-189.91953,256,True,38218,0.854036288898,8.111942e-06,474,0.0917579268592,True,0.4559942594498,0.025806589698,0.000215168973,6.0,42,0
0,100000,-195.8989,256,True,38218,0.854036288898,8.111942e-06,474,0.0917579268592,True,0.4559942594498,0.025806589698,0.000215168973,6.0,42,1
0,100000,-214.03964,256,True,38218,0.854036288898,8.111942e-06,474,0.0917579268592,True,0.4559942594498,0.025806589698,0.000215168973,6.0,42,2
1,100000,-934.001,256,False,12558,0.9805860121747,0.0670311293207,1367,0.0405696384137,False,,,,,42,0
1,100000,-156.21577,256,False,12558,0.9805860121747,0.0670311293207,1367,0.0405696384137,False,,,,,42,1
1,100000,-570.2175,256,False,12558,0.9805860121747,0.0670311293207,1367,0.0405696384137,False,,,,,42,2
2,100000,35.042282,64,False,81380,0.8777755692715,0.0445131431565,1363,0.0252955029854,True,,,,56.0,42,0
2,100000,-76.96477,64,False,81380,0.8777755692715,0.0445131431565,1363,0.0252955029854,True,,,,56.0,42,1
2,100000,-93.90544,64,False,81380,0.8777755692715,0.0445131431565,1363,0.0252955029854,True,,,,56.0,42,2
3,100000,-466.91733,128,True,105119,0.5404266631664,0.0826258051428,186,0.1029065186016,False,0.6789332158689,0.2362645215793,0.0009660837987,,42,0
3,100000,-178.59607,128,True,105119,0.5404266631664,0.0826258051428,186,0.1029065186016,False,0.6789332158689,0.2362645215793,0.0009660837987,,42,1
3,100000,-234.4244,128,True,105119,0.5404266631664,0.0826258051428,186,0.1029065186016,False,0.6789332158689,0.2362645215793,0.0009660837987,,42,2
4,100000,-264.21155,128,False,3581,0.6419604873687,7.5792505e-06,1415,0.1140934120638,False,,,,,42,0
4,100000,-143.63914,128,False,3581,0.6419604873687,7.5792505e-06,1415,0.1140934120638,False,,,,,42,1
4,100000,-281.68683,128,False,3581,0.6419604873687,7.5792505e-06,1415,0.1140934120638,False,,,,,42,2
5,100000,-141.17319,256,True,86338,0.8480148983375,5.0167225e-06,245,0.0519851817753,False,0.7978347427417,0.5824973395862,2.30851682e-05,,42,0
5,100000,-149.49762,256,True,86338,0.8480148983375,5.0167225e-06,245,0.0519851817753,False,0.7978347427417,0.5824973395862,2.30851682e-05,,42,1
5,100000,-703.0658,256,True,86338,0.8480148983375,5.0167225e-06,245,0.0519851817753,False,0.7978347427417,0.5824973395862,2.30851682e-05,,42,2
6,100000,179.78119,64,True,106127,0.6614782364706,1.3389172e-06,1081,0.1432045886173,True,0.0572389664147,0.1008810751553,1.171236e-07,23.0,42,0
6,100000,-4.1236496,64,True,106127,0.6614782364706,1.3389172e-06,1081,0.1432045886173,True,0.0572389664147,0.1008810751553,1.171236e-07,23.0,42,1
6,100000,-213.03366,64,True,106127,0.6614782364706,1.3389172e-06,1081,0.1432045886173,True,0.0572389664147,0.1008810751553,1.171236e-07,23.0,42,2
7,100000,-147.82512,256,False,5635,0.9721257985626,0.0007359277991,1440,0.0210548222741,False,,,,,42,0
7,100000,-115.575424,256,False,5635,0.9721257985626,0.0007359277991,1440,0.0210548222741,False,,,,,42,1
7,100000,-328.32446,256,False,5635,0.9721257985626,0.0007359277991,1440,0.0210548222741,False,,,,,42,2
8,100000,-408.54007,64,True,111472,0.6600248005153,2.8604436e-06,1390,0.1507225313581,True,0.7396652012231,0.838594235495,3.8601698e-06,8.0,42,0
8,100000,-363.8463,64,True,111472,0.6600248005153,2.8604436e-06,1390,0.1507225313581,True,0.7396652012231,0.838594235495,3.8601698e-06,8.0,42,1
8,100000,-215.68597,64,True,111472,0.6600248005153,2.8604436e-06,1390,0.1507225313581,True,0.7396652012231,0.838594235495,3.8601698e-06,8.0,42,2
9,100000,-834.27295,64,True,26313,0.7463125521454,3.8692896e-06,1214,0.0878308304897,False,0.083058599088,0.6987912020948,1.519797e-07,,42,0
9,100000,-296.5951,64,True,26313,0.7463125521454,3.8692896e-06,1214,0.0878308304897,False,0.083058599088,0.6987912020948,1.519797e-07,,42,1
9,100000,-477.57513,64,True,26313,0.7463125521454,3.8692896e-06,1214,0.0878308304897,False,0.083058599088,0.6987912020948,1.519797e-07,,42,2
10,100000,-934.001,128,False,56308,0.5665925626119,0.039435082995,1015,0.0309329613296,True,,,,4.0,42,0
10,100000,-153.7813,128,False,56308,0.5665925626119,0.039435082995,1015,0.0309329613296,True,,,,4.0,42,1
10,100000,-156.65161,128,False,56308,0.5665925626119,0.039435082995,1015,0.0309329613296,True,,,,4.0,42,2
11,100000,-163.61136,256,False,38155,0.5442041116828,0.0083818776994,1329,0.1099418150729,True,,,,4.0,42,0
11,100000,-203.45258,256,False,38155,0.5442041116828,0.0083818776994,1329,0.1099418150729,True,,,,4.0,42,1
11,100000,-161.89363,256,False,38155,0.5442041116828,0.0083818776994,1329,0.1099418150729,True,,,,4.0,42,2
12,100000,-606.2026,256,False,88529,0.5443512668785,0.0003289170256,1079,0.1737919203001,False,,,,,42,0
12,100000,-192.62721,256,False,88529,0.5443512668785,0.0003289170256,1079,0.1737919203001,False,,,,,42,1
12,100000,-74.33597,256,False,88529,0.5443512668785,0.0003289170256,1079,0.1737919203001,False,,,,,42,2
13,100000,-160.77045,128,False,83176,0.7934205590104,6.53749669e-05,1312,0.0980741503609,True,,,,70.0,42,0
13,100000,-818.2129,128,False,83176,0.7934205590104,6.53749669e-05,1312,0.0980741503609,True,,,,70.0,42,1
13,100000,-155.21805,128,False,83176,0.7934205590104,6.53749669e-05,1312,0.0980741503609,True,,,,70.0,42,2
14,100000,-934.001,64,False,21642,0.5259117684112,4.09043245e-05,1994,0.1662932621498,False,,,,,42,0
14,100000,-818.2129,64,False,21642,0.5259117684112,4.09043245e-05,1994,0.1662932621498,False,,,,,42,1
14,100000,-139.27414,64,False,21642,0.5259117684112,4.09043245e-05,1994,0.1662932621498,False,,,,,42,2
15,100000,-158.41827,256,True,19405,0.5584490203542,0.0093352498584,1120,0.1754763617156,False,0.5444620307417,0.6024582741932,0.0006859606106,,42,0
15,100000,-138.79602,256,True,19405,0.5584490203542,0.0093352498584,1120,0.1754763617156,False,0.5444620307417,0.6024582741932,0.0006859606106,,42,1
15,100000,-152.25148,256,True,19405,0.5584490203542,0.0093352498584,1120,0.1754763617156,False,0.5444620307417,0.6024582741932,0.0006859606106,,42,2
16,100000,28.762386,64,False,28656,0.7120653356512,3.6829026e-06,1854,0.0677042510875,True,,,,49.0,42,0
16,100000,99.69391,64,False,28656,0.7120653356512,3.6829026e-06,1854,0.0677042510875,True,,,,49.0,42,1
16,100000,150.90701,64,False,28656,0.7120653356512,3.6829026e-06,1854,0.0677042510875,True,,,,49.0,42,2
17,100000,-363.61746,128,True,93398,0.6746934995247,0.0008655018912,1136,0.0675381994508,False,0.1645910713925,0.2387640486222,5.178198e-07,,42,0
17,100000,-390.9867,128,True,93398,0.6746934995247,0.0008655018912,1136,0.0675381994508,False,0.1645910713925,0.2387640486222,5.178198e-07,,42,1
17,100000,-238.79626,128,True,93398,0.6746934995247,0.0008655018912,1136,0.0675381994508,False,0.1645910713925,0.2387640486222,5.178198e-07,,42,2
18,100000,-88.61196,64,True,17056,0.5907177175449,5.11784064e-05,804,0.0877891792979,False,0.4763547981669,0.7018573946293,3.381465e-07,,42,0
18,100000,-53.26116,64,True,17056,0.5907177175449,5.11784064e-05,804,0.0877891792979,False,0.4763547981669,0.7018573946293,3.381465e-07,,42,1
18,100000,-201.12508,64,True,17056,0.5907177175449,5.11784064e-05,804,0.0877891792979,False,0.4763547981669,0.7018573946293,3.381465e-07,,42,2
19,100000,-82.46367,128,False,17749,0.9369450387813,0.037330149537,1845,0.0145816913655,False,,,,,42,0
19,100000,-65.34825,128,False,17749,0.9369450387813,0.037330149537,1845,0.0145816913655,False,,,,,42,1
19,100000,0.67568755,128,False,17749,0.9369450387813,0.037330149537,1845,0.0145816913655,False,,,,,42,2
20,100000,-512.94836,256,False,89953,0.9586567877311,0.0005122768577,709,0.1888678085976,True,,,,3.0,42,0
20,100000,-152.28343,256,False,89953,0.9586567877311,0.0005122768577,709,0.1888678085976,True,,,,3.0,42,1
20,100000,-202.83397,256,False,89953,0.9586567877311,0.0005122768577,709,0.1888678085976,True,,,,3.0,42,2
21,100000,-303.13684,256,False,28369,0.6164797373768,0.000441250967,957,0.0964764840444,True,,,,43.0,42,0
21,100000,-138.95892,256,False,28369,0.6164797373768,0.000441250967,957,0.0964764840444,True,,,,43.0,42,1
21,100000,-312.66553,256,False,28369,0.6164797373768,0.000441250967,957,0.0964764840444,True,,,,43.0,42,2
22,100000,-163.61136,128,True,58003,0.9153212588753,0.0611436435705,1544,0.0527864402224,True,0.5416046786645,0.2729440421628,0.0001730072484,79.0,42,0
22,100000,-154.27351,128,True,58003,0.9153212588753,0.0611436435705,1544,0.0527864402224,True,0.5416046786645,0.2729440421628,0.0001730072484,79.0,42,1
22,100000,-153.15247,128,True,58003,0.9153212588753,0.0611436435705,1544,0.0527864402224,True,0.5416046786645,0.2729440421628,0.0001730072484,79.0,42,2
23,100000,24.097569,128,False,10540,0.9123404829626,0.0247257760732,1704,0.1241036642648,True,,,,70.0,42,0
23,100000,-109.86627,128,False,10540,0.9123404829626,0.0247257760732,1704,0.1241036642648,True,,,,70.0,42,1
23,100000,-601.97266,128,False,10540,0.9123404829626,0.0247257760732,1704,0.1241036642648,True,,,,70.0,42,2
24,100000,-426.56036,64,True,84831,0.8540860443226,1.6932074e-06,1250,0.1644810765341,False,0.4319194892136,0.2285619166609,0.000635995802,,42,0
24,100000,-262.92822,64,True,84831,0.8540860443226,1.6932074e-06,1250,0.1644810765341,False,0.4319194892136,0.2285619166609,0.000635995802,,42,1
24,100000,-186.38571,64,True,84831,0.8540860443226,1.6932074e-06,1250,0.1644810765341,False,0.4319194892136,0.2285619166609,0.000635995802,,42,2
25,100000,-37.99712,64,False,49314,0.6842631718619,0.0220351413008,348,0.1842487217153,True,,,,89.0,42,0
25,100000,-586.7464,64,False,49314,0.6842631718619,0.0220351413008,348,0.1842487217153,True,,,,89.0,42,1
25,100000,-37.066704,64,False,49314,0.6842631718619,0.0220351413008,348,0.1842487217153,True,,,,89.0,42,2
26,100000,-163.61136,128,False,96341,0.8879023678965,2.5854889e-06,89,0.1344067062125,True,,,,12.0,42,0
26,100000,-154.27351,128,False,96341,0.8879023678965,2.5854889e-06,89,0.1344067062125,True,,,,12.0,42,1
26,100000,-152.25148,128,False,96341,0.8879023678965,2.5854889e-06,89,0.1344067062125,True,,,,12.0,42,2
27,100000,-162.93579,64,False,111222,0.5808362720734,0.0002926740612,1230,0.1457066448835,False,,,,,42,0
27,100000,-145.40851,64,False,111222,0.5808362720734,0.0002926740612,1230,0.1457066448835,False,,,,,42,1
27,100000,-175.22809,64,False,111222,0.5808362720734,0.0002926740612,1230,0.1457066448835,False,,,,,42,2
28,100000,-163.61136,128,True,36157,0.7964591999159,3.63697473e-05,459,0.0903067371924,False,0.1759430241254,0.8457287444795,2.803357e-07,,42,0
28,100000,-154.27351,128,True,36157,0.7964591999159,3.63697473e-05,459,0.0903067371924,False,0.1759430241254,0.8457287444795,2.803357e-07,,42,1
28,100000,-152.25148,128,True,36157,0.7964591999159,3.63697473e-05,459,0.0903067371924,False,0.1759430241254,0.8457287444795,2.803357e-07,,42,2
29,100000,-24.174833,64,False,2263,0.8195599689078,0.0021593412825,891,0.1464350654993,True,,,,64.0,42,0
29,100000,64.80211,64,False,2263,0.8195599689078,0.0021593412825,891,0.1464350654993,True,,,,64.0,42,1
29,100000,5.4094095,64,False,2263,0.8195599689078,0.0021593412825,891,0.1464350654993,True,,,,64.0,42,2
30,100000,-319.67276,64,True,115068,0.719086173206,7.55720598e-05,710,0.1095916908106,False,0.3859879223774,0.3478353493499,2.70159579e-05,,42,0
30,100000,-234.1408,64,True,115068,0.719086173206,7.55720598e-05,710,0.1095916908106,False,0.3859879223774,0.3478353493499,2.70159579e-05,,42,1
30,100000,-249.80399,64,True,115068,0.719086173206,7.55720598e-05,710,0.1095916908106,False,0.3859879223774,0.3478353493499,2.70159579e-05,,42,2
31,100000,-89.936844,64,True,7036,0.8350480173055,0.0038741722814,1286,0.0854809576141,True,0.8209969708325,0.4169181851086,0.0001324652797,18.0,42,0
31,100000,-283.29065,64,True,7036,0.8350480173055,0.0038741722814,1286,0.0854809576141,True,0.8209969708325,0.4169181851086,0.0001324652797,18.0,42,1
31,100000,-109.46894,64,True,7036,0.8350480173055,0.0038741722814,1286,0.0854809576141,True,0.8209969708325,0.4169181851086,0.0001324652797,18.0,42,2
0,100000,-151.31549,256,False,50753,0.8136958413522,0.0012344469126,799,0.0520424208508,True,,,,6.0,45,0
0,100000,-154.27351,256,False,50753,0.8136958413522,0.0012344469126,799,0.0520424208508,True,,,,6.0,45,1
0,100000,-161.05728,256,False,50753,0.8136958413522,0.0012344469126,799,0.0520424208508,True,,,,6.0,45,2
1,100000,-304.34534,64,False,18121,0.532086147983,0.0041692876028,795,0.1784582001245,False,,,,,45,0
1,100000,-286.6361,64,False,18121,0.532086147983,0.0041692876028,795,0.1784582001245,False,,,,,45,1
1,100000,-233.45209,64,False,18121,0.532086147983,0.0041692876028,795,0.1784582001245,False,,,,,45,2
2,100000,-377.1394,256,True,49390,0.9174596905991,0.0414400307784,961,0.10562350606,False,0.6085686848406,0.3242144457756,0.0001006005746,,45,0
2,100000,-251.69933,256,True,49390,0.9174596905991,0.0414400307784,961,0.10562350606,False,0.6085686848406,0.3242144457756,0.0001006005746,,45,1
2,100000,-268.4954,256,True,49390,0.9174596905991,0.0414400307784,961,0.10562350606,False,0.6085686848406,0.3242144457756,0.0001006005746,,45,2
3,100000,163.78949,64,True,111538,0.5913654261188,2.4012342e-05,786,0.1026296186607,False,0.1051619976703,0.2902285541726,9.341126e-07,,45,0
3,100000,94.53926,64,True,111538,0.5913654261188,2.4012342e-05,786,0.1026296186607,False,0.1051619976703,0.2902285541726,9.341126e-07,,45,1
3,100000,152.12952,64,True,111538,0.5913654261188,2.4012342e-05,786,0.1026296186607,False,0.1051619976703,0.2902285541726,9.341126e-07,,45,2
4,100000,-287.603,64,True,90330,0.7021237594784,1.3176208e-06,1269,0.1778234480202,False,0.9553471289451,0.0325810369601,8.07171657e-05,,45,0
4,100000,-514.5923,64,True,90330,0.7021237594784,1.3176208e-06,1269,0.1778234480202,False,0.9553471289451,0.0325810369601,8.07171657e-05,,45,1
