config_id,budget,performance,hp_config.buffer_batch_size,hp_config.buffer_prio_sampling,hp_config.buffer_size,hp_config.learning_rate,hp_config.learning_starts,hp_config.reward_scale,hp_config.use_target_network,hp_config.buffer_alpha,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.tau,optimisation_seed,seed
0,5000000,3950.7256,2048,True,1137098,0.0034702669887,5311,1.6738085788752,True,0.9833985769487,0.0231323115483,1.42715e-08,0.1816310069727,42,0
0,5000000,1628.634,2048,True,1137098,0.0034702669887,5311,1.6738085788752,True,0.9833985769487,0.0231323115483,1.42715e-08,0.1816310069727,42,1
0,5000000,3891.4165,2048,True,1137098,0.0034702669887,5311,1.6738085788752,True,0.9833985769487,0.0231323115483,1.42715e-08,0.1816310069727,42,2
1,5000000,1699.7656,1024,False,1272765,2.7698899e-06,8529,0.3564497907039,True,,,,0.8883406151506,42,0
1,5000000,1675.6016,1024,False,1272765,2.7698899e-06,8529,0.3564497907039,True,,,,0.8883406151506,42,1
1,5000000,1719.214,1024,False,1272765,2.7698899e-06,8529,0.3564497907039,True,,,,0.8883406151506,42,2
2,5000000,-411.70197,1024,True,123433,0.0015207297997,1678,1.7729973899342,False,0.8093657536124,0.43283671074,1.221954e-07,,42,0
2,5000000,1377.6763,1024,True,123433,0.0015207297997,1678,1.7729973899342,False,0.8093657536124,0.43283671074,1.221954e-07,,42,1
2,5000000,1464.3173,1024,True,123433,0.0015207297997,1678,1.7729973899342,False,0.8093657536124,0.43283671074,1.221954e-07,,42,2
3,5000000,116.78529,1024,True,814192,1.4630315e-06,5791,2.8604390429825,False,0.5131167889733,0.7140380371136,9.72434e-08,,42,0
3,5000000,-153.10999,1024,True,814192,1.4630315e-06,5791,2.8604390429825,False,0.5131167889733,0.7140380371136,9.72434e-08,,42,1
3,5000000,-20.978188,1024,True,814192,1.4630315e-06,5791,2.8604390429825,False,0.5131167889733,0.7140380371136,9.72434e-08,,42,2
4,5000000,3525.4414,512,False,991222,0.0042636190536,12874,7.5904388335095,True,,,,0.6348272397373,42,0
4,5000000,2869.246,512,False,991222,0.0042636190536,12874,7.5904388335095,True,,,,0.6348272397373,42,1
4,5000000,2970.665,512,False,991222,0.0042636190536,12874,7.5904388335095,True,,,,0.6348272397373,42,2
5,5000000,594.73865,512,False,1355228,0.0054776448334,699,0.3443100613786,True,,,,0.5065011317403,42,0
5,5000000,571.7615,512,False,1355228,0.0054776448334,699,0.3443100613786,True,,,,0.5065011317403,42,1
5,5000000,613.269,512,False,1355228,0.0054776448334,699,0.3443100613786,True,,,,0.5065011317403,42,2
6,5000000,780.5988,2048,False,1143448,0.015655520469,15338,8.5212569413884,True,,,,0.5537343980591,42,0
6,5000000,876.6788,2048,False,1143448,0.015655520469,15338,8.5212569413884,True,,,,0.5537343980591,42,1
6,5000000,908.0338,2048,False,1143448,0.015655520469,15338,8.5212569413884,True,,,,0.5537343980591,42,2
7,5000000,-1353.0112,2048,True,1905074,3.8050748e-06,11151,1.7049050458377,False,0.6871241317042,0.6400395614716,1.13768199e-05,,42,0
7,5000000,609.25867,2048,True,1905074,3.8050748e-06,11151,1.7049050458377,False,0.6871241317042,0.6400395614716,1.13768199e-05,,42,1
7,5000000,606.7551,2048,True,1905074,3.8050748e-06,11151,1.7049050458377,False,0.6871241317042,0.6400395614716,1.13768199e-05,,42,2
8,5000000,40.771656,1024,False,1257469,3.8978412e-06,11657,2.9059993351331,False,,,,,42,0
8,5000000,-23.835442,1024,False,1257469,3.8978412e-06,11657,2.9059993351331,False,,,,,42,1
8,5000000,-18.464743,1024,False,1257469,3.8978412e-06,11657,2.9059993351331,False,,,,,42,2
9,5000000,1589.0688,2048,True,1847206,0.0048437061026,2539,0.711513181263,True,0.3805280877986,0.7558444034064,1.32163e-07,0.4739740355742,42,0
9,5000000,1136.801,2048,True,1847206,0.0048437061026,2539,0.711513181263,True,0.3805280877986,0.7558444034064,1.32163e-07,0.4739740355742,42,1
9,5000000,1292.0967,2048,True,1847206,0.0048437061026,2539,0.711513181263,True,0.3805280877986,0.7558444034064,1.32163e-07,0.4739740355742,42,2
10,5000000,-43.62799,512,True,214944,1.1501974e-06,11003,1.8146683984526,False,0.9591153833338,0.1779831048566,6.33469e-08,,42,0
10,5000000,1663.2894,512,True,214944,1.1501974e-06,11003,1.8146683984526,False,0.9591153833338,0.1779831048566,6.33469e-08,,42,1
10,5000000,785.3955,512,True,214944,1.1501974e-06,11003,1.8146683984526,False,0.9591153833338,0.1779831048566,6.33469e-08,,42,2
11,5000000,1.8377825,1024,True,1466609,7.62635179e-05,4158,0.6755212335412,True,0.5892980370022,0.2129948752215,6.0953081e-06,0.4814485898211,42,0
11,5000000,1064.6459,1024,True,1466609,7.62635179e-05,4158,0.6755212335412,True,0.5892980370022,0.2129948752215,6.0953081e-06,0.4814485898211,42,1
11,5000000,1241.5295,1024,True,1466609,7.62635179e-05,4158,0.6755212335412,True,0.5892980370022,0.2129948752215,6.0953081e-06,0.4814485898211,42,2
12,5000000,2211.3765,1024,False,2276,0.0327910477331,10209,7.92576602228,False,,,,,42,0
12,5000000,2240.9128,1024,False,2276,0.0327910477331,10209,7.92576602228,False,,,,,42,1
12,5000000,2284.5198,1024,False,2276,0.0327910477331,10209,7.92576602228,False,,,,,42,2
13,5000000,4.883473,1024,True,1420208,2.8936962e-06,4432,0.9312064391199,False,0.6902938503493,0.3606052040852,6.60428e-07,,42,0
13,5000000,4.493271,1024,True,1420208,2.8936962e-06,4432,0.9312064391199,False,0.6902938503493,0.3606052040852,6.60428e-07,,42,1
13,5000000,-40.63289,1024,True,1420208,2.8936962e-06,4432,0.9312064391199,False,0.6902938503493,0.3606052040852,6.60428e-07,,42,2
14,5000000,7.1041727,2048,False,1243653,6.03230969e-05,1605,0.2222016044834,False,,,,,42,0
14,5000000,119.05387,2048,False,1243653,6.03230969e-05,1605,0.2222016044834,False,,,,,42,1
14,5000000,-85.496994,2048,False,1243653,6.03230969e-05,1605,0.2222016044834,False,,,,,42,2
15,5000000,788.0408,1024,True,590857,1.02012247e-05,14231,8.5124352474289,True,0.0576136975244,0.8268813499259,3.81051e-08,0.9006707708393,42,0
15,5000000,857.43005,1024,True,590857,1.02012247e-05,14231,8.5124352474289,True,0.0576136975244,0.8268813499259,3.81051e-08,0.9006707708393,42,1
15,5000000,796.54346,1024,True,590857,1.02012247e-05,14231,8.5124352474289,True,0.0576136975244,0.8268813499259,3.81051e-08,0.9006707708393,42,2
16,5000000,778.86487,512,False,1585190,0.0013757523564,9446,2.5939459501794,True,,,,0.1897817396334,42,0
16,5000000,784.26483,512,False,1585190,0.0013757523564,9446,2.5939459501794,True,,,,0.1897817396334,42,1
16,5000000,825.6784,512,False,1585190,0.0013757523564,9446,2.5939459501794,True,,,,0.1897817396334,42,2
17,5000000,637.0636,1024,False,231227,0.003042664864,11641,6.6278458109158,True,,,,0.2323587747106,42,0
17,5000000,615.0917,1024,False,231227,0.003042664864,11641,6.6278458109158,True,,,,0.2323587747106,42,1
17,5000000,729.021,1024,False,231227,0.003042664864,11641,6.6278458109158,True,,,,0.2323587747106,42,2
18,5000000,730.2483,1024,True,1196913,0.0638780407852,9984,6.2532901306226,False,0.7169186077919,0.7677027182556,2.29884e-08,,42,0
18,5000000,691.3419,1024,True,1196913,0.0638780407852,9984,6.2532901306226,False,0.7169186077919,0.7677027182556,2.29884e-08,,42,1
18,5000000,735.2046,1024,True,1196913,0.0638780407852,9984,6.2532901306226,False,0.7169186077919,0.7677027182556,2.29884e-08,,42,2
19,5000000,3307.9937,2048,True,1729120,0.0106310175914,8356,1.8470623243001,True,0.8192691261211,0.2753830044146,2.96708e-08,0.492556886267,42,0
19,5000000,3401.3647,2048,True,1729120,0.0106310175914,8356,1.8470623243001,True,0.8192691261211,0.2753830044146,2.96708e-08,0.492556886267,42,1
19,5000000,-44.28208,2048,True,1729120,0.0106310175914,8356,1.8470623243001,True,0.8192691261211,0.2753830044146,2.96708e-08,0.492556886267,42,2
20,5000000,2155.5583,1024,True,1363437,7.2176602e-06,5475,0.1051941666106,False,0.5775614343976,0.3603326627956,2.1941e-09,,42,0
20,5000000,1199.1138,1024,True,1363437,7.2176602e-06,5475,0.1051941666106,False,0.5775614343976,0.3603326627956,2.1941e-09,,42,1
20,5000000,1938.2446,1024,True,1363437,7.2176602e-06,5475,0.1051941666106,False,0.5775614343976,0.3603326627956,2.1941e-09,,42,2
21,5000000,1367.4518,512,False,701804,0.0002350642281,12312,8.6178469403576,True,,,,0.7085194207905,42,0
21,5000000,1253.6783,512,False,701804,0.0002350642281,12312,8.6178469403576,True,,,,0.7085194207905,42,1
21,5000000,1548.9062,512,False,701804,0.0002350642281,12312,8.6178469403576,True,,,,0.7085194207905,42,2
22,5000000,-554.38794,1024,True,1799894,1.8811052e-06,2667,0.4271502606035,False,0.4233310231876,0.3901242510205,2.7715e-09,,42,0
22,5000000,864.2262,1024,True,1799894,1.8811052e-06,2667,0.4271502606035,False,0.4233310231876,0.3901242510205,2.7715e-09,,42,1
22,5000000,-511.6906,1024,True,1799894,1.8811052e-06,2667,0.4271502606035,False,0.4233310231876,0.3901242510205,2.7715e-09,,42,2
23,5000000,823.527,512,False,434840,1.680751e-06,1828,5.7310819044723,False,,,,,42,0
23,5000000,869.2809,512,False,434840,1.680751e-06,1828,5.7310819044723,False,,,,,42,1
23,5000000,823.60846,512,False,434840,1.680751e-06,1828,5.7310819044723,False,,,,,42,2
24,5000000,-271.10773,2048,True,766561,2.31631102e-05,13774,0.1023680144331,False,0.8526948449083,0.3543311158232,9.7080076e-06,,42,0
