config_id,budget,performance,hp_config.clip_eps,hp_config.ent_coef,hp_config.gae_lambda,hp_config.learning_rate,hp_config.max_grad_norm,hp_config.minibatch_size,hp_config.normalize_advantage,hp_config.vf_clip_eps,hp_config.vf_coef,optimisation_seed,seed
0,1000000,-80.171875,0.1872700594237,0.0779972601681,0.8041148404097,8.2608084e-06,0.6118528947224,512,True,0.2252496259848,0.0159662522202,42,0
0,1000000,-95.39844,0.1872700594237,0.0779972601681,0.8041148404097,8.2608084e-06,0.6118528947224,512,True,0.2252496259848,0.0159662522202,42,1
0,1000000,-82.94531,0.1872700594237,0.0779972601681,0.8041148404097,8.2608084e-06,0.6118528947224,512,True,0.2252496259848,0.0159662522202,42,2
1,1000000,-500.0,0.4165974558681,0.2125779372456,0.8899058512606,0.0007115736738,0.5396921323891,128,True,0.146744087359,0.605959974781,42,0
1,1000000,-500.0,0.4165974558681,0.2125779372456,0.8899058512606,0.0007115736738,0.5396921323891,128,True,0.146744087359,0.605959974781,42,1
1,1000000,-94.875,0.4165974558681,0.2125779372456,0.8899058512606,0.0007115736738,0.5396921323891,128,True,0.146744087359,0.605959974781,42,2
2,1000000,-87.05469,0.2247253370691,0.2956488938539,0.9696978734708,0.0035753161317,0.4753702231821,512,True,0.3121770240669,0.4165099478704,42,0
2,1000000,-83.77344,0.2247253370691,0.2956488938539,0.9696978734708,0.0035753161317,0.4753702231821,512,True,0.3121770240669,0.4165099478704,42,1
2,1000000,-86.60156,0.2247253370691,0.2956488938539,0.9696978734708,0.0035753161317,0.4753702231821,512,True,0.3121770240669,0.4165099478704,42,2
3,1000000,-73.28125,0.4534142207729,0.152390629079,0.8538555255263,0.0001045155368,0.7122705899244,256,True,0.2238915822865,0.2421599382774,42,0
3,1000000,-84.44531,0.4534142207729,0.152390629079,0.8538555255263,0.0001045155368,0.7122705899244,256,True,0.2238915822865,0.2421599382774,42,1
3,1000000,-72.74219,0.4534142207729,0.152390629079,0.8538555255263,0.0001045155368,0.7122705899244,256,True,0.2238915822865,0.2421599382774,42,2
