cum_budget,optimizer,run_id,budget,performance,seed
500000,PBT,,,,0
600000,PBT,,,,0
700000,PBT,,,,0
800000,PBT,,,,0
900000,PBT,,,,0
1000000,PBT,,,,0
1100000,PBT,,,,0
1200000,PBT,,,,0
1300000,PBT,,,,0
1400000,PBT,,,,0
1500000,PBT,,,,0
1600000,PBT,,50000.0,37.38759994506836,0
1700000,PBT,,50000.0,41.007524728775024,0
1800000,PBT,,50000.0,44.62744951248169,0
1900000,PBT,,50000.0,48.247374296188354,0
2000000,PBT,,50000.0,51.86729907989502,0
2100000,PBT,,50000.0,55.487223863601685,0
2200000,PBT,,50000.0,59.10714864730835,0
2300000,PBT,,50000.0,62.727073431015015,0
2400000,PBT,,50000.0,66.34699821472168,0
2500000,PBT,,50000.0,69.96692299842834,0
2600000,PBT,,50000.0,73.58684778213501,0
2700000,PBT,,50000.0,77.20677256584167,0
2800000,PBT,,50000.0,80.82669734954834,0
2900000,PBT,,50000.0,84.446622133255,0
3000000,PBT,,50000.0,88.06654691696167,0
3100000,PBT,,50000.0,91.68647170066833,0
3200000,PBT,,50000.0,95.306396484375,0
3300000,PBT,,50000.0,92.93412399291992,0
3400000,PBT,,50000.0,90.56185150146484,0
3500000,PBT,,50000.0,88.18957901000977,0
3600000,PBT,,50000.0,85.81730651855469,0
3700000,PBT,,50000.0,83.44503402709961,0
3800000,PBT,,50000.0,81.07276153564453,0
3900000,PBT,,50000.0,78.70048904418945,0
4000000,PBT,,50000.0,76.32821655273438,0
4100000,PBT,,50000.0,73.9559440612793,0
4200000,PBT,,50000.0,71.58367156982422,0
4300000,PBT,,50000.0,69.21139907836914,0
4400000,PBT,,50000.0,66.83912658691406,0
4500000,PBT,,50000.0,64.46685409545898,0
4600000,PBT,,50000.0,62.094581604003906,0
4700000,PBT,,50000.0,59.72230911254883,0
4800000,PBT,,50000.0,57.35003662109375,0
4900000,PBT,,50000.0,57.180442810058594,0
5000000,PBT,,50000.0,57.01084899902344,0
5100000,PBT,,50000.0,56.84125518798828,0
5200000,PBT,,50000.0,56.671661376953125,0
5300000,PBT,,50000.0,56.50206756591797,0
5400000,PBT,,50000.0,56.33247375488281,0
5500000,PBT,,50000.0,56.162879943847656,0
5600000,PBT,,50000.0,55.9932861328125,0
5700000,PBT,,50000.0,55.823692321777344,0
5800000,PBT,,50000.0,55.65409851074219,0
5900000,PBT,,50000.0,55.48450469970703,0
6000000,PBT,,50000.0,55.314910888671875,0
6100000,PBT,,50000.0,55.14531707763672,0
6200000,PBT,,50000.0,54.97572326660156,0
6300000,PBT,,50000.0,54.806129455566406,0
6400000,PBT,,50000.0,54.63653564453125,0
6500000,PBT,,50000.0,53.23853778839111,0
6600000,PBT,,50000.0,51.84053993225098,0
6700000,PBT,,50000.0,50.44254207611084,0
6800000,PBT,,50000.0,49.0445442199707,0
6900000,PBT,,50000.0,47.646546363830566,0
7000000,PBT,,50000.0,46.24854850769043,0
7100000,PBT,,50000.0,44.85055065155029,0
7200000,PBT,,50000.0,43.452552795410156,0
7300000,PBT,,50000.0,42.05455493927002,0
7400000,PBT,,50000.0,40.65655708312988,0
7500000,PBT,,50000.0,39.258559226989746,0
7600000,PBT,,50000.0,37.86056137084961,0
7700000,PBT,,50000.0,36.46256351470947,0
7800000,PBT,,50000.0,35.064565658569336,0
7900000,PBT,,50000.0,33.6665678024292,0
8000000,PBT,,50000.0,32.26856994628906,0
8100000,PBT,,50000.0,35.1357684135437,0
8200000,PBT,,50000.0,38.00296688079834,0
8300000,PBT,,50000.0,40.87016534805298,0
8400000,PBT,,50000.0,43.73736381530762,0
8500000,PBT,,50000.0,46.604562282562256,0
8600000,PBT,,50000.0,49.471760749816895,0
8700000,PBT,,50000.0,52.33895921707153,0
8800000,PBT,,50000.0,55.20615768432617,0
8900000,PBT,,50000.0,58.07335615158081,0
9000000,PBT,,50000.0,60.94055461883545,0
9100000,PBT,,50000.0,63.80775308609009,0
9200000,PBT,,50000.0,66.67495155334473,0
9300000,PBT,,50000.0,69.54215002059937,0
9400000,PBT,,50000.0,72.409348487854,0
9500000,PBT,,50000.0,75.27654695510864,0
9600000,PBT,,50000.0,78.14374542236328,0
9700000,PBT,,50000.0,77.90985202789307,0
9800000,PBT,,50000.0,77.67595863342285,0
9900000,PBT,,50000.0,77.44206523895264,0
10000000,PBT,,50000.0,77.20817184448242,0
10100000,PBT,,50000.0,76.9742784500122,0
10200000,PBT,,50000.0,76.74038505554199,0
10300000,PBT,,50000.0,76.50649166107178,0
10400000,PBT,,50000.0,76.27259826660156,0
10500000,PBT,,50000.0,76.03870487213135,0
10600000,PBT,,50000.0,75.80481147766113,0
10700000,PBT,,50000.0,75.57091808319092,0
10800000,PBT,,50000.0,75.3370246887207,0
10900000,PBT,,50000.0,75.10313129425049,0
11000000,PBT,,50000.0,74.86923789978027,0
11100000,PBT,,50000.0,74.63534450531006,0
11200000,PBT,,50000.0,74.40145111083984,0
11300000,PBT,,50000.0,73.65451288223267,0
11400000,PBT,,50000.0,72.90757465362549,0
11500000,PBT,,50000.0,72.16063642501831,0
11600000,PBT,,50000.0,71.41369819641113,0
11700000,PBT,,50000.0,70.66675996780396,0
11800000,PBT,,50000.0,69.91982173919678,0
11900000,PBT,,50000.0,69.1728835105896,0
12000000,PBT,,50000.0,68.42594528198242,0
12100000,PBT,,50000.0,67.67900705337524,0
12200000,PBT,,50000.0,66.93206882476807,0
12300000,PBT,,50000.0,66.18513059616089,0
12400000,PBT,,50000.0,65.43819236755371,0
12500000,PBT,,50000.0,64.69125413894653,0
12600000,PBT,,50000.0,63.944315910339355,0
12700000,PBT,,50000.0,63.19737768173218,0
12800000,PBT,,50000.0,62.450439453125,0
12900000,PBT,,50000.0,62.41548252105713,0
13000000,PBT,,50000.0,62.38052558898926,0
13100000,PBT,,50000.0,62.34556865692139,0
13200000,PBT,,50000.0,62.310611724853516,0
13300000,PBT,,50000.0,62.275654792785645,0
13400000,PBT,,50000.0,62.24069786071777,0
13500000,PBT,,50000.0,62.2057409286499,0
13600000,PBT,,50000.0,62.17078399658203,0
13700000,PBT,,50000.0,62.13582706451416,0
13800000,PBT,,50000.0,62.10087013244629,0
13900000,PBT,,50000.0,62.06591320037842,0
14000000,PBT,,50000.0,62.03095626831055,0
14100000,PBT,,50000.0,61.995999336242676,0
