cum_budget,optimizer,run_id,budget,performance,seed
100000,PBT,,,,0
200000,PBT,,5000.0,0.008911569442048175,0
300000,PBT,,5000.0,0.0073492618797173625,0
400000,PBT,,5000.0,0.0047251319602468,0
500000,PBT,,5000.0,0.0021131901432695686,0
600000,PBT,,5000.0,0.0006118230934054102,0
700000,PBT,,5000.0,1.1276273459746994e-05,0
800000,PBT,,5000.0,1.1276273459746994e-05,0
900000,PBT,,5000.0,0.007593322136602968,0
1000000,PBT,,5000.0,0.01098285079171525,0
1100000,PBT,,5000.0,0.008083603634781125,0
1200000,PBT,,5000.0,0.0037834794898354094,0
1300000,PBT,,5000.0,5.671371342442277e-05,0
1400000,PBT,,5000.0,2.425839916394007e-05,0
1500000,PBT,,5000.0,4.708573461047937e-05,0
1600000,PBT,,5000.0,0.0001067681698617,0
100000,PBT,,,,1
200000,PBT,,5000.0,0.001083472068987925,1
300000,PBT,,5000.0,0.00036285884621898743,1
400000,PBT,,5000.0,0.0005503531089973,1
500000,PBT,,5000.0,0.0026436977156416124,1
600000,PBT,,5000.0,0.011452336212202674,1
700000,PBT,,5000.0,0.009364098359314342,1
800000,PBT,,5000.0,1.1276273459746994e-05,1
900000,PBT,,5000.0,1.1276273459746994e-05,1
1000000,PBT,,5000.0,0.0017734512603445852,1
1100000,PBT,,5000.0,0.00617888872755668,1
1200000,PBT,,5000.0,0.006678529666803349,1
1300000,PBT,,5000.0,0.006027776189288988,1
1400000,PBT,,5000.0,0.0046812415726959255,1
1500000,PBT,,5000.0,0.002593370931334093,1
1600000,PBT,,5000.0,1.1276273459746995e-05,1
100000,PBT,,,,2
200000,PBT,,5000.0,0.051622914178856026,2
300000,PBT,,5000.0,0.11830014143306508,2
400000,PBT,,5000.0,0.0659692844386378,2
500000,PBT,,5000.0,0.008394624798333175,2
600000,PBT,,5000.0,0.04885283882315555,2
700000,PBT,,5000.0,-1.9402390057794976,2
800000,PBT,,5000.0,-5.282364222800469,2
900000,PBT,,5000.0,-1.9755068245349041,2
1000000,PBT,,5000.0,0.007758121901911925,2
1100000,PBT,,5000.0,0.005634390595604237,2
1200000,PBT,,5000.0,0.0073119213420587,2
1300000,PBT,,5000.0,0.009307216434325648,2
1400000,PBT,,5000.0,0.0087723068570804,2
1500000,PBT,,5000.0,0.010735040312775439,2
1600000,PBT,,5000.0,0.014362869123764,2
100000,Random Search,1.0,50000.0,0.7563695311546326,42
200000,Random Search,3.0,50000.0,0.1907259076833725,42
300000,Random Search,5.0,50000.0,0.1971179842948913,42
400000,Random Search,7.0,50000.0,0.1870691925287246,42
500000,Random Search,9.0,50000.0,0.1868835319764912,42
600000,Random Search,11.0,50000.0,-30.28832244873047,42
700000,Random Search,13.0,50000.0,0.205501452088356,42
800000,Random Search,15.0,50000.0,0.1857451219887783,42
900000,Random Search,17.0,50000.0,0.1963299239675204,42
1000000,Random Search,19.0,50000.0,1.0897384881973269,42
1100000,Random Search,21.0,50000.0,0.2290723919868469,42
1200000,Random Search,23.0,50000.0,-30.29054832458496,42
1300000,Random Search,25.0,50000.0,0.2347083538770675,42
1400000,Random Search,27.0,50000.0,0.1852533370256424,42
1500000,Random Search,29.0,50000.0,0.1851121554306397,42
1600000,Random Search,31.0,50000.0,0.1902323315540949,42
100000,Random Search,1.0,50000.0,0.0007297495716376,43
200000,Random Search,3.0,50000.0,0.004852768980767,43
300000,Random Search,5.0,50000.0,0.0028446230330517,43
400000,Random Search,7.0,50000.0,0.0127238652577254,43
500000,Random Search,9.0,50000.0,0.0104611107632882,43
600000,Random Search,11.0,50000.0,0.0076522058356031,43
700000,Random Search,13.0,50000.0,0.0049656183263959,43
800000,Random Search,15.0,50000.0,0.0083262277640625,43
900000,Random Search,17.0,50000.0,0.2461268766546662,43
1000000,Random Search,19.0,50000.0,0.7894272003362052,43
1100000,Random Search,21.0,50000.0,0.0008280196791003,43
1200000,Random Search,23.0,50000.0,0.0070622725488386,43
1300000,Random Search,25.0,50000.0,0.001092828781739,43
1400000,Random Search,27.0,50000.0,0.0029140593426433,43
1500000,Random Search,29.0,50000.0,55.40487342982447,43
1600000,Random Search,31.0,50000.0,0.0322666489656124,43
100000,Random Search,1.0,50000.0,0.1438294088890259,44
200000,Random Search,3.0,50000.0,0.2055259838772677,44
300000,Random Search,5.0,50000.0,0.396482972148908,44
400000,Random Search,7.0,50000.0,0.1105840451365115,44
500000,Random Search,9.0,50000.0,0.0468566023401165,44
600000,Random Search,11.0,50000.0,0.0559438316535674,44
700000,Random Search,13.0,50000.0,0.0433707721099149,44
800000,Random Search,15.0,50000.0,0.0396098555479502,44
900000,Random Search,17.0,50000.0,0.0368906621697695,44
1000000,Random Search,19.0,50000.0,0.0468566023401165,44
1100000,Random Search,21.0,50000.0,12.190728820045104,44
1200000,Random Search,23.0,50000.0,0.0601370498738614,44
1300000,Random Search,25.0,50000.0,0.0454078710960004,44
1400000,Random Search,27.0,50000.0,0.0435575766981947,44
1500000,Random Search,29.0,50000.0,0.0513760499089047,44
1600000,Random Search,31.0,50000.0,0.0432269900891163,44
100000,SMAC BO,1.0,50000.0,0.0048403390683233,0
200000,SMAC BO,3.0,50000.0,0.017556382343173,0
300000,SMAC BO,5.0,50000.0,0.0144761092960834,0
400000,SMAC BO,7.0,50000.0,7.09208325133659e-05,0
500000,SMAC BO,9.0,50000.0,0.0137722073122859,0
600000,SMAC BO,11.0,50000.0,0.0052066096104681,0
700000,SMAC BO,13.0,50000.0,0.0182311553508043,0
800000,SMAC BO,15.0,50000.0,0.1814372688531875,0
900000,SMAC BO,17.0,50000.0,0.3100632727146148,0
1000000,SMAC BO,19.0,50000.0,0.2954992055892944,0
1100000,SMAC BO,21.0,50000.0,0.2996207475662231,0
1200000,SMAC BO,23.0,50000.0,0.978889524936676,0
1300000,SMAC BO,25.0,50000.0,0.0115367770195007,0
1400000,SMAC BO,27.0,50000.0,8.346146583557129,0
1500000,SMAC BO,29.0,50000.0,22.17391967773437,0
1600000,SMAC BO,31.0,50000.0,0.0027598205488175,0
100000,SMAC BO,1.0,50000.0,0.0399741931351612,1
200000,SMAC BO,3.0,50000.0,0.0044929280477423,1
300000,SMAC BO,5.0,50000.0,0.1723339159307505,1
400000,SMAC BO,7.0,50000.0,0.0873664372035808,1
500000,SMAC BO,9.0,50000.0,0.0117879134547746,1
600000,SMAC BO,11.0,50000.0,0.0003917905438734,1
700000,SMAC BO,13.0,50000.0,0.0070516284324124,1
800000,SMAC BO,15.0,50000.0,0.0077708250290207,1
900000,SMAC BO,17.0,50000.0,0.0016994746598584,1
1000000,SMAC BO,19.0,50000.0,0.0027008529859026,1
1100000,SMAC BO,21.0,50000.0,0.4132219346743577,1
1200000,SMAC BO,23.0,50000.0,0.1529113125305036,1
1300000,SMAC BO,25.0,50000.0,0.1645366433941082,1
1400000,SMAC BO,27.0,50000.0,0.2034878327460604,1
1500000,SMAC BO,29.0,50000.0,0.1752079863092593,1
1600000,SMAC BO,31.0,50000.0,0.1413695168480202,1
100000,SMAC BO,1.0,50000.0,0.0359921546268414,2
200000,SMAC BO,3.0,50000.0,0.0609140097676417,2
300000,SMAC BO,5.0,50000.0,0.1641884761501792,2
400000,SMAC BO,7.0,50000.0,0.0243980619471073,2
500000,SMAC BO,9.0,50000.0,0.5379624614154918,2
600000,SMAC BO,11.0,50000.0,0.1484299737823199,2
700000,SMAC BO,13.0,50000.0,0.0652841697248778,2
800000,SMAC BO,15.0,50000.0,0.3630979130047803,2
900000,SMAC BO,17.0,50000.0,0.0839354018951193,2
1000000,SMAC BO,19.0,50000.0,0.3028769623218687,2
1100000,SMAC BO,21.0,50000.0,0.2737041981189519,2
1200000,SMAC BO,23.0,50000.0,0.1589698749548651,2
1300000,SMAC BO,25.0,50000.0,0.3605398152530837,2
1400000,SMAC BO,27.0,50000.0,0.5638330751638512,2
1500000,SMAC BO,29.0,50000.0,0.2178665173779849,2
1600000,SMAC BO,31.0,50000.0,0.4443661752541997,2
100000,SMAC MF,,1138.392857142857,1.1278132816577063e-05,0
200000,SMAC MF,,1912.7155172413793,1.127823519835084e-05,0
300000,SMAC MF,,2774.7844827586205,1.1278662221794265e-05,0
400000,SMAC MF,,3831.845238095238,1.7068288094551894e-05,0
500000,SMAC MF,,5022.321428571428,2.681894475894556e-05,0
600000,SMAC MF,,6212.797619047618,3.6569601423339226e-05,0
700000,SMAC MF,,8112.9807692307695,0.00019267526359282032,0
800000,SMAC MF,,10036.057692307691,0.00035350205497214294,0
900000,SMAC MF,,11959.134615384617,0.0005143288463514656,0
1000000,SMAC MF,,15494.791666666666,0.00042549980046003856,0
1100000,SMAC MF,,19661.458333333332,0.00023897933998440522,0
1200000,SMAC MF,,23828.125,5.245887950877182e-05,0
1300000,SMAC MF,,30133.928571428572,0.0005488032052415267,0
1400000,SMAC MF,,37276.78571428571,0.0013123554907949553,0
1500000,SMAC MF,,44419.642857142855,0.0020759077763483837,0
100000,SMAC MF,,1138.392857142857,1.0803003098669697e-05,1
200000,SMAC MF,,1912.7155172413793,1.047184469887577e-05,1
300000,SMAC MF,,2774.7844827586205,1.1045704583710398e-05,1
400000,SMAC MF,,3831.845238095238,8.727670065774882e-06,1
500000,SMAC MF,,5022.321428571428,4.430970956470325e-06,1
600000,SMAC MF,,6212.797619047618,1.342718471657675e-07,1
700000,SMAC MF,,8112.9807692307695,0.0001539649251524423,1
800000,SMAC MF,,10036.057692307691,0.0003128964607936731,1
900000,SMAC MF,,11959.134615384617,0.00047182799643490385,1
1000000,SMAC MF,,15494.791666666666,0.0005551388374637323,1
1100000,SMAC MF,,19661.458333333332,0.000608858971905099,1
1200000,SMAC MF,,23828.125,0.0006625791063464657,1
1300000,SMAC MF,,30133.928571428572,0.0009736526914989974,1
1400000,SMAC MF,,37276.78571428571,0.0013854298008428544,1
1500000,SMAC MF,,44419.642857142855,0.0017972069101867116,1
100000,SMAC MF,,1138.392857142857,1.1278133311019854e-05,2
200000,SMAC MF,,1912.7155172413793,1.1278234876086438e-05,2
300000,SMAC MF,,2774.7844827586205,1.12786617460157e-05,2
400000,SMAC MF,,3831.845238095238,1.1278679483113756e-05,2
500000,SMAC MF,,5022.321428571428,1.1278417287222034e-05,2
600000,SMAC MF,,6212.797619047618,1.1278155091330313e-05,2
700000,SMAC MF,,8112.9807692307695,-9.450956908393993,2
800000,SMAC MF,,10036.057692307691,-19.206795036436205,2
900000,SMAC MF,,11959.134615384617,-28.962633164478415,2
1000000,SMAC MF,,15494.791666666666,-24.11012263097178,2
1100000,SMAC MF,,19661.458333333332,-13.541301751641683,2
1200000,SMAC MF,,23828.125,-2.972480872311589,2
1300000,SMAC MF,,30133.928571428572,0.0025054160678831955,2
1400000,SMAC MF,,37276.78571428571,0.005991212336242424,2
1500000,SMAC MF,,44419.642857142855,0.009477008604601652,2
