config_id,budget,performance,hp_config.buffer_batch_size,hp_config.buffer_prio_sampling,hp_config.buffer_size,hp_config.initial_epsilon,hp_config.learning_rate,hp_config.learning_starts,hp_config.target_epsilon,hp_config.use_target_network,hp_config.buffer_alpha,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.target_update_interval,optimisation_seed,seed
0,100000,-500.0,64,False,13815,0.6058881185018,0.0202627866917,1015,0.1920351273976,False,,,,,0,0
0,100000,-500.0,64,False,13815,0.6058881185018,0.0202627866917,1015,0.1920351273976,False,,,,,0,1
0,100000,-500.0,64,False,13815,0.6058881185018,0.0202627866917,1015,0.1920351273976,False,,,,,0,2
1,100000,-85.61719,256,True,85286,0.8669842802919,0.0001126656871,1430,0.0245778605854,True,0.3854468731489,0.1039730728138,6.01105795e-05,47.0,0,0
1,100000,-80.66406,256,True,85286,0.8669842802919,0.0001126656871,1430,0.0245778605854,True,0.3854468731489,0.1039730728138,6.01105795e-05,47.0,0,1
1,100000,-88.4375,256,True,85286,0.8669842802919,0.0001126656871,1430,0.0245778605854,True,0.3854468731489,0.1039730728138,6.01105795e-05,47.0,0,2
2,100000,-436.6172,128,False,59071,0.7447194498964,2.104609e-06,1906,0.117146683122,True,,,,4.0,0,0
2,100000,-500.0,128,False,59071,0.7447194498964,2.104609e-06,1906,0.117146683122,True,,,,4.0,0,1
2,100000,-500.0,128,False,59071,0.7447194498964,2.104609e-06,1906,0.117146683122,True,,,,4.0,0,2
3,100000,-488.39844,64,True,98704,0.9699131431989,0.0016715721228,273,0.0997168664411,False,0.5155792293139,0.7579156192206,7.052682e-07,,0,0
3,100000,-84.47656,64,True,98704,0.9699131431989,0.0016715721228,273,0.0997168664411,False,0.5155792293139,0.7579156192206,7.052682e-07,,0,1
3,100000,-131.50781,64,True,98704,0.9699131431989,0.0016715721228,273,0.0997168664411,False,0.5155792293139,0.7579156192206,7.052682e-07,,0,2
4,100000,-85.66406,64,False,64836,0.8932186802849,0.0005160075704,722,0.1317051459979,True,,,,54.0,0,0
4,100000,-81.97656,64,False,64836,0.8932186802849,0.0005160075704,722,0.1317051459979,True,,,,54.0,0,1
4,100000,-86.0625,64,False,64836,0.8932186802849,0.0005160075704,722,0.1317051459979,True,,,,54.0,0,2
5,100000,-87.734375,128,True,19391,0.6337919160724,1.7334511e-05,1203,0.0536180962035,False,0.6914968363661,0.5510075630154,1.250281e-07,,0,0
5,100000,-95.71875,128,True,19391,0.6337919160724,1.7334511e-05,1203,0.0536180962035,False,0.6914968363661,0.5510075630154,1.250281e-07,,0,1
5,100000,-468.02344,128,True,19391,0.6337919160724,1.7334511e-05,1203,0.0536180962035,False,0.6914968363661,0.5510075630154,1.250281e-07,,0,2
6,100000,-105.59375,256,False,111718,0.754263786599,2.42610304e-05,1621,0.156901180339,False,,,,,0,0
6,100000,-93.25,256,False,111718,0.754263786599,2.42610304e-05,1621,0.156901180339,False,,,,,0,1
6,100000,-105.32031,256,False,111718,0.754263786599,2.42610304e-05,1621,0.156901180339,False,,,,,0,2
7,100000,-500.0,128,True,31187,0.5312306368724,0.0567351986399,54,0.0282868931759,True,0.3331551267579,0.3302481898665,1.06086171e-05,96.0,0,0
7,100000,-498.53906,128,True,31187,0.5312306368724,0.0567351986399,54,0.0282868931759,True,0.3331551267579,0.3302481898665,1.06086171e-05,96.0,0,1
7,100000,-387.67188,128,True,31187,0.5312306368724,0.0567351986399,54,0.0282868931759,True,0.3331551267579,0.3302481898665,1.06086171e-05,96.0,0,2
8,100000,-82.02344,64,False,64836,0.9096892907627,0.000561203423,722,0.1368189898543,True,,,,54.0,0,0
8,100000,-83.21094,64,False,64836,0.9096892907627,0.000561203423,722,0.1368189898543,True,,,,54.0,0,1
8,100000,-82.03906,64,False,64836,0.9096892907627,0.000561203423,722,0.1368189898543,True,,,,54.0,0,2
9,100000,-87.33594,256,False,110968,0.7541462895189,2.42234472e-05,1628,0.1568508557685,False,,,,,0,0
9,100000,-92.421875,256,False,110968,0.7541462895189,2.42234472e-05,1628,0.1568508557685,False,,,,,0,1
9,100000,-92.25,256,False,110968,0.7541462895189,2.42234472e-05,1628,0.1568508557685,False,,,,,0,2
10,100000,-104.42969,256,False,101742,0.7527701368529,2.3665968e-05,1710,0.1561602274402,False,,,,,0,0
10,100000,-500.0,256,False,101742,0.7527701368529,2.3665968e-05,1710,0.1561602274402,False,,,,,0,1
10,100000,-92.44531,256,False,101742,0.7527701368529,2.3665968e-05,1710,0.1561602274402,False,,,,,0,2
11,100000,-500.0,64,False,60502,0.9779435534705,0.0132454950141,4,0.1854491342146,True,,,,54.0,0,0
11,100000,-500.0,64,False,60502,0.9779435534705,0.0132454950141,4,0.1854491342146,True,,,,54.0,0,1
11,100000,-95.65625,64,False,60502,0.9779435534705,0.0132454950141,4,0.1854491342146,True,,,,54.0,0,2
12,100000,-84.03125,64,False,58884,0.9999394343324,0.00099925869,687,0.1739411504892,True,,,,54.0,0,0
12,100000,-79.28125,64,False,58884,0.9999394343324,0.00099925869,687,0.1739411504892,True,,,,54.0,0,1
12,100000,-77.640625,64,False,58884,0.9999394343324,0.00099925869,687,0.1739411504892,True,,,,54.0,0,2
