framework,id,runtime
ARLBench,9,385.18458557128906
ARLBench,8,336.6706919670105
ARLBench,6,366.56295371055603
ARLBench,3,350.2965807914734
ARLBench,5,335.1371536254883
ARLBench,0,360.68258833885193
ARLBench,7,475.3909983634949
ARLBench,2,347.76694345474243
ARLBench,4,373.0812749862671
ARLBench,1,323.77085161209106
SB3,9,2410.830134153366
SB3,8,2418.8063945770264
SB3,6,2407.44127368927
SB3,3,2387.146802663803
SB3,5,2409.5655534267426
SB3,0,2388.89209318161
SB3,7,2501.108134508133
SB3,2,2582.0562522411346
SB3,4,2347.081953048706
SB3,1,2397.495955467224
