framework,id,runtime
ARLBench,9,1150.6252055168152
ARLBench,8,1159.375815153122
ARLBench,6,1157.6375188827515
ARLBench,3,1173.460105419159
ARLBench,5,1177.1428463459015
ARLBench,0,1103.591901063919
ARLBench,7,1172.0700421333313
ARLBench,2,1198.2399418354034
ARLBench,4,1170.5975694656372
ARLBench,1,1148.386735200882
SB3,9,3755.8063604831696
SB3,8,3708.610733985901
SB3,6,3711.6688890457153
SB3,3,3713.855383872986
SB3,5,3716.412970304489
SB3,0,3747.6998438835144
SB3,7,3762.908453941345
SB3,2,3702.8013293743134
SB3,4,3776.230362176895
SB3,1,3689.79571723938
