run_id,budget,performance,hp_config.buffer_batch_size,hp_config.buffer_prio_sampling,hp_config.buffer_size,hp_config.initial_epsilon,hp_config.learning_rate,hp_config.learning_starts,hp_config.target_epsilon,hp_config.use_target_network,hp_config.buffer_alpha,hp_config.buffer_beta,hp_config.buffer_epsilon,hp_config.target_update_interval,seed
0,50000,-190.55469,128,False,72738,0.7724415914984484,0.0001313028028065,1323,0.0880798550412758,False,,,,,9
1,50000,-9.2578125,128,False,9475,0.5435646498507704,1.2620948285169311e-06,1706,0.1558531934390202,False,,,,,9
2,50000,-353.21094,64,False,18079,0.972334458524792,0.0004066695065393,849,0.0536465668088207,False,,,,,9
3,50000,-157.35156,128,False,113308,0.8409101495517417,6.273927602293595e-05,895,0.1398286079895257,True,,,,13.0,9
4,50000,-44.460938,64,True,68864,0.7193007567311602,0.0874720269385501,209,0.0425664744628721,True,0.6565772422107444,0.2607586865143843,7.332348382056157e-06,25.0,9
5,50000,-35.054688,64,True,79112,0.5690914756743068,9.614170248896964e-06,755,0.1643776527397391,True,0.8395654584238159,0.1051374238150234,0.0008050778165087,47.0,9
6,50000,-96.24219,256,False,88979,0.5195938961271603,2.5943873188938787e-05,246,0.0599318993069068,True,,,,70.0,9
7,50000,-500.0,128,True,63278,0.5469702553792208,0.0007581104406909,1904,0.0643952215378134,False,0.1404798837803482,0.7191639320773799,1.4375546764731752e-06,,9
8,50000,-500.0,128,True,99648,0.5023477380962735,0.0024495295557978,553,0.1473036104023964,False,0.2562656120847584,0.5803957610736585,2.334359420826884e-05,,9
9,50000,-500.0,64,False,54221,0.923204336235564,0.0031433763157634,609,0.1629457661207929,True,,,,70.0,9
10,50000,-157.53906,256,False,114775,0.8219950996148186,0.000131605864636,1242,0.0048194464635573,True,,,,43.0,9
11,50000,-149.91406,64,True,68836,0.7954363806240866,0.0007440913299851,1338,0.1307685507303361,True,0.8975811298925523,0.3738862513474176,5.539361408594054e-06,90.0,9
12,50000,-79.11719,256,False,12948,0.9597413068723368,0.0037256881265494,2046,0.0307402126269407,False,,,,,9
13,50000,-106.609375,256,False,49469,0.534583497727569,0.0030700388104416,929,0.1446890642945992,False,,,,,9
