Configuration,Score,Seed,Environment
0,-150.08173,0,box2d_lunar_lander
0,-837.70886,1,box2d_lunar_lander
0,-163.96458,2,box2d_lunar_lander
0,-799.723,3,box2d_lunar_lander
0,-137.90201,4,box2d_lunar_lander
0,-165.30542,5,box2d_lunar_lander
0,-156.78136,6,box2d_lunar_lander
0,-145.4604,7,box2d_lunar_lander
0,-148.5183,8,box2d_lunar_lander
0,-158.76044,9,box2d_lunar_lander
1,-384.40543,0,box2d_lunar_lander
1,-344.5094,1,box2d_lunar_lander
1,-275.654,2,box2d_lunar_lander
1,-370.93484,3,box2d_lunar_lander
1,-255.95639,4,box2d_lunar_lander
1,-352.10693,5,box2d_lunar_lander
1,-217.92912,6,box2d_lunar_lander
1,-203.54709,7,box2d_lunar_lander
1,-308.91226,8,box2d_lunar_lander
1,-248.45105,9,box2d_lunar_lander
2,-148.37497,0,box2d_lunar_lander
2,-153.07916,1,box2d_lunar_lander
2,-138.31902,2,box2d_lunar_lander
2,-148.33925,3,box2d_lunar_lander
2,-146.16006,4,box2d_lunar_lander
2,-151.67468,5,box2d_lunar_lander
2,-193.13559,6,box2d_lunar_lander
2,-125.65613,7,box2d_lunar_lander
2,-154.71475,8,box2d_lunar_lander
2,-154.18207,9,box2d_lunar_lander
3,-132.83717,0,box2d_lunar_lander
3,-145.24304,1,box2d_lunar_lander
3,-148.59167,2,box2d_lunar_lander
3,-141.77939,3,box2d_lunar_lander
3,-131.78168,4,box2d_lunar_lander
3,-164.67499,5,box2d_lunar_lander
3,-146.4176,6,box2d_lunar_lander
3,-166.68196,7,box2d_lunar_lander
3,-163.56355,8,box2d_lunar_lander
3,-143.90607,9,box2d_lunar_lander
4,-236.52098,0,box2d_lunar_lander
4,-275.15906,1,box2d_lunar_lander
4,-311.1994,2,box2d_lunar_lander
4,-575.61096,3,box2d_lunar_lander
4,-959.1599,4,box2d_lunar_lander
4,-687.6616,5,box2d_lunar_lander
4,-580.20105,6,box2d_lunar_lander
4,-184.02551,7,box2d_lunar_lander
4,-385.89578,8,box2d_lunar_lander
4,-463.34235,9,box2d_lunar_lander
5,-139.35764,0,box2d_lunar_lander
5,-163.93907,1,box2d_lunar_lander
5,-146.35435,2,box2d_lunar_lander
5,-249.27026,3,box2d_lunar_lander
5,-391.04297,4,box2d_lunar_lander
5,-611.8327,5,box2d_lunar_lander
5,-336.03738,6,box2d_lunar_lander
5,-382.56696,7,box2d_lunar_lander
5,-164.49754,8,box2d_lunar_lander
5,-506.26428,9,box2d_lunar_lander
6,-149.83932,0,box2d_lunar_lander
6,-144.63751,1,box2d_lunar_lander
6,-447.58405,2,box2d_lunar_lander
6,-147.37476,3,box2d_lunar_lander
6,-160.31358,4,box2d_lunar_lander
6,-167.3046,5,box2d_lunar_lander
6,-137.01083,6,box2d_lunar_lander
6,-141.29767,7,box2d_lunar_lander
6,-172.3565,8,box2d_lunar_lander
6,-153.76253,9,box2d_lunar_lander
7,-76.922935,0,box2d_lunar_lander
7,-154.64822,1,box2d_lunar_lander
7,-481.73126,2,box2d_lunar_lander
