Configuration,atari_battle_zone,atari_double_dunk,atari_phoenix,atari_qbert,atari_this_game,box2d_lunar_lander,box2d_lunar_lander_continuous,brax_ant,brax_halfcheetah,brax_hopper,brax_humanoid,cc_acrobot,cc_cartpole,cc_continuous_mountain_car,cc_mountain_car,cc_pendulum,minigrid_door_key,minigrid_empty_random,minigrid_four_rooms,minigrid_unlock,Prediction
0,0.1259746162721583,0.017334074898034686,0.8888117698196891,0.19105099555652905,0.44390690327566795,0.9400769719102895,0.8366254981317681,0.9999999999994726,0.9999999999999613,0.9999999683353995,0.9999999999997414,0.9719702793823044,1.0,0.5037291343494259,0.0,0.40884901647142907,0.7252448900829898,0.9995277854910926,0.06274530934512354,0.0,0.6194682928545543
1,0.0220272018460893,0.01232851316277341,0.6359343473170234,0.06362703729657106,0.08984381843034865,0.8882048054565591,0.7976571165399832,0.9999999999993922,0.9999999999999484,0.9999999611241381,0.9999999999997394,0.5600301652763627,0.6997234384010725,0.5967340884940512,0.0,0.21244233165539492,0.4747214021618168,0.9551434787561307,0.031226885358087608,0.0,0.5327321206077171
2,0.049508758435019756,0.023544679273266467,0.6993008417196305,0.006405503673485559,0.1669267671909215,0.8245025891803729,0.7870474689540318,0.999999999999436,0.9999999999999614,0.9999991551086324,0.9999999998275684,0.2890055935773012,0.7507654390411275,0.5711732471715801,0.0,0.0,0.0,0.12437359736068396,0.02534215251307101,0.0,0.4408353089431544
3,0.7592391852033146,0.01510938079347419,0.8022406667887743,0.048329683398676104,0.4692449803308536,0.7715905526933702,0.7921086985607426,0.999999999999506,0.9999999999999717,0.9999999636468219,0.9999999999999006,0.9696676429829948,0.8853600936199889,0.9789318955200739,0.0,0.27521608632316386,0.05647948689352531,0.9492878663387678,0.44501011502322757,0.0010690839887594658,0.6043856288687818
4,0.049648613684836196,0.010845383759732869,0.7187785170338529,0.021635695056247774,0.09566082401710421,0.9889170020835637,0.9510610042765665,0.9999999999787389,0.9999999999995288,0.9999999777097889,0.9999999995487081,0.9627725119777529,0.9181668956535168,0.8426530945393694,0.007323266983673661,0.15062356209301955,0.0,0.365289928943093,0.015370495503145308,0.0,0.4798708221149989
5,0.08342365651550646,0.15294771968854273,1.0,0.20233832574468819,0.7511266090931503,0.9233692622636531,0.8713730369872692,0.9999999999994901,0.9999999999999806,0.9999999987500267,0.9999999999999906,0.7019664648685721,0.5116698599999044,0.7167231038152815,0.0,0.22954189124732582,0.9723341431503322,0.9998038426338002,0.5603401204418308,0.3443099419750631,0.6108430687317262
6,0.8603195692458305,0.2157953281423804,0.9359878255768833,0.07741651688520099,0.7647420829722007,0.8694038056723202,0.8186078516556449,0.9999999999995022,0.9999999999999726,0.9999999654864473,0.9999999999999498,0.6170008117892088,0.9257424712811132,0.5020868026830181,0.0,0.2924174562152997,0.9998862672014417,0.9996367349412869,0.6398218288395146,0.5524568551744072,0.6563518024557026
7,0.045522883815251214,0.02456433073785688,0.7042897023893415,0.011808830493860086,0.1692893781016308,0.9794627160129522,0.9541530103339895,0.999999999999471,0.999999999997966,0.9999999906159381,0.9999999993133527,0.986103832319175,0.7320812455916609,0.5742780684623168,0.3987636863827959,0.28117574810678925,0.0,0.9290492102763807,0.015662032819095943,0.0,0.5438164820500043
8,0.5065207532603755,0.025862068965517116,0.712202291716384,0.02214007581055193,0.2037862651966685,0.3283147319896319,0.7793357849694521,0.9999999999994736,0.9999999999999671,0.9999999623576488,0.9999999999997565,0.8833653189587244,0.243072834249631,0.5038779872385626,0.0,0.2774025412355297,0.0,0.20712680051342133,0.12340126758040847,0.0,0.4032302009081718
9,0.5738610560469913,0.46055802743789387,0.9707055918375385,1.0,0.5922779494125678,0.993810233724506,0.9499392890526223,0.9999999999996588,0.9999999999999728,0.999999974880936,1.0,0.9791210525419053,0.9287548695609255,0.5031981034653771,0.0,0.5162355665491677,0.9552814778765862,0.9993897460706699,0.08920501811408157,0.0,0.6326117764769636
10,0.044683752316352576,0.007879124953652207,0.6901228614035971,0.014222746643430106,0.0848629538392531,0.9558989583926149,0.8351656545629346,0.9999999999994854,0.9999999999990086,0.9999999725377753,0.9999999904490751,0.9854117624114476,0.8798814080573694,0.5717393782791893,0.07974880885566328,0.4009413931010108,0.0,0.4112370310940051,0.0,0.0,0.48030607083917676
11,0.08768924163490786,0.016870596959584556,0.7157214983167433,0.01390931948259362,0.17923818498344576,0.8348670590962631,0.7619989489117083,0.9999999999995409,0.9999999999999706,0.9999999724358047,0.9999999881269456,0.9717548077800982,0.9748260939925582,0.8511775180530657,0.15811957100232726,0.2570556806737954,0.0,0.32727782182643284,0.029769199262070417,0.0,0.4925420649091702
12,0.029824132023355827,0.017426770485724837,0.7010145724840351,0.007784320029589922,0.07821072749378723,0.8654975458466853,0.5945533159380986,0.99998935260249,0.9999999999901471,0.9999999740599428,0.9999990903846891,0.8180734161349235,0.6580338841946214,0.21830203899540923,0.026281085394219285,0.24609594969710463,0.0,0.11121345301909102,0.03560534614789593,0.0,0.4169937921817664
13,0.0,0.013162773451983517,0.7084407391297881,0.021710759198433068,0.14914627311675452,0.9732352418971846,0.9260083005815968,0.9999999756694153,0.9999999999799151,0.9999999735717436,0.9999999763512936,0.9758177471550077,0.6204553301776391,0.5752570419892379,0.0,0.2861431304691818,0.0,0.3348770163233593,0.010506141052591409,0.0,0.4519955536831287
